WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKHUISARTS_NO_REG_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2013,41.6199843492403,2.91530944625407,32428.0083623693,1.01365187713311,2.59609120521173,3.8821752265861,2011.276747558587,127.93016959263832,66.24199563432218,1140.9679388399802,218.8386665684621,268.7172753517451,21.4042038864771,1.17406345042737,18286.9370521006,0.116080580339958,1.0935271669497,3.52542815140464,5476.0098652053985,80.46678188616266,77.9357253107835,3829.7229400427013,676.8028349514357,2482.478957579644
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2014,42.0797854982817,2.93972602739726,32876.8533886584,1.00880758807588,2.52876712328767,3.93667007150153,2136.811624426705,135.29604954682364,72.25403330746207,1331.1513492413878,204.6749284647132,246.23868676950158,21.490140673448,1.22997584694719,19129.970781625,0.0934662137996564,1.02837216026838,3.63296562149806,5988.182174219787,95.23815249106693,92.52660767109516,4786.482384977011,477.4356013833604,2626.258264604921
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2015,42.354566321018,2.74825174825175,33898.3231410702,1.00673854447439,2.71328671328671,3.78147029204431,2259.6854271697384,143.38261204703514,78.1233764669393,1198.8813570470372,268.09435230265836,315.7626242617583,21.6814461470313,1.2730321944002,19247.1935007933,0.0818391699238248,1.67383319977379,3.57009011098855,7830.953331262681,106.94324009905222,104.23056331933596,4737.194763962409,1723.7416222568895,4634.482650415598
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2016,41.6385247984961,3.09708737864078,35594.5644090305,1.00703774792067,2.50970873786408,3.79375591296121,2185.8830984850506,145.89095700365783,79.97774165568701,1287.355395569152,220.4342336199474,173.35376025373324,22.0886818379482,1.85096575361535,21974.6198773416,0.0836223170932955,0.918796903297915,3.67745985354783,6764.48720012994,77.26567896046693,74.53999055048214,4637.159493458593,897.2103013111523,2375.2985259699344
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2017,41.7536544523708,2.68154761904762,34934.3253246753,1.00379506641366,2.38690476190476,3.8368932038835,2266.501122430364,147.43471329019764,80.8222058957358,1434.0446761541896,210.30999435268143,153.9294559482596,22.0679046390154,1.20808914769169,18576.9522087056,0.0615065582667534,0.756469373663395,3.65581901770801,10009.026961140291,76.12593301129482,73.38484971258815,9234.204972359947,641.0709905063552,1601.5824956920555
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2018,42.1200533711126,2.95207667731629,35797.2722478576,1.0031887755102,2.39297124600639,4.01754385964912,2352.2726979509994,164.41914113485208,105.53655831610776,1471.9389220399448,199.81547364218605,145.25173677793907,22.277314317748,1.28885900414409,20431.487195636,0.0563971248166704,0.735249252916416,3.76215872261817,8312.290957727913,137.53269877344042,140.10188816789574,6710.811207449686,563.2483253414202,1091.179094596223
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2019,42.2386554478497,2.86885245901639,37613.6383543464,1.00064557779212,2.3344262295082,3.8790243902439,2594.9162186202325,166.03412109712744,105.5466039704064,1692.3601848292944,223.08697670730834,107.13889285818146,22.6741526841662,1.10732325778835,21544.2011795458,0.0254082229233756,0.711485946411683,3.49231844334907,14736.36058339693,176.01035456055715,176.83160165464963,13637.747859303652,918.7839173674826,1012.3562895839235
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2020,43.2531515618714,3.092,38690.4919137466,1.0,2.4,3.83056133056133,2319.01577896138,159.52396804261,98.8584953395473,1393.58341544607,222.262956058589,148.268708388815,22.9627965981343,1.39834095617588,22405.7358088536,0.0,1.28006023954635,3.39972783033821,8032.22635534374,70.1972312116875,75.365826352168,6996.61597196297,768.231068875717,1036.91263762955
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2021,43.5730233045619,2.90102389078498,39826.195799458,1.0,2.3481228668942,3.78821178821179,,,,,,,23.1668034961846,1.0855995326628,23681.1891756264,0.0,0.698558857937334,3.31588614085298,,,,,,
WK060311,Gemeente Rijswijk, Wijk Wijk 11,2022,43.7170542824905,2.91756272401434,42179.4642375169,1.0,2.46594982078853,3.94362017804154,,,,,,,23.1945395070936,1.3209762340707,31817.2659167581,0.0,0.916331682781226,3.35930602659908,,,,,,
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2009,44.1546433912397,3.29593412249099,0.0,1.02092050209205,2.50952135872362,4.05286793223107,2028.4010956254372,135.07223711063267,81.6889606470162,1155.2531468834468,341.3991186722857,133.2928212423503,25.5789323513617,1.62099349702215,0.0,0.150483975424545,1.04619704003725,3.40157372382283,5404.935995460248,156.06309498764486,153.0395239752645,3937.9584622898155,1518.792912907513,2318.930158554353
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2010,44.3683465786863,3.35876288659794,0.0,1.02291836181177,2.42680412371134,4.18373245251858,2231.2911107443756,137.5141379434242,73.44455134972137,1263.3216116535082,354.5911077303549,160.0115159909602,25.5545151574314,1.6007188030379,0.0,0.156736172286249,0.928214050281104,3.48361191220168,6924.479524325735,159.765902086373,152.43976870841442,3998.407682177833,1572.9042493099043,3521.232764492086
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2011,44.6333596424041,3.23633524206143,74767.847220174,1.02428926304168,2.52056220718376,4.23577577157254,2296.1045485659806,144.203016583575,75.81154233733048,1345.7419986385407,339.06940993501576,137.6846016940735,25.577112148587,1.55166305273435,207092.420444152,0.160109128460925,1.05953945203807,3.61015599874345,6618.371887886539,149.9267655990603,141.80163157790003,4410.6832237773715,1349.0980170505306,3227.5424083841076
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2012,45.1906241534769,3.33214072748956,80842.5529144587,1.02252443688908,2.536076326774,4.2848626783053,2258.860894360789,132.27814028686004,68.38607106769526,1455.5973721518806,303.7304724388135,104.43858884092153,25.5512663201813,2.04630139817302,217517.563803745,0.154931503679327,1.15738455617707,3.70473400292909,6192.0416055077785,138.36819213219246,130.7674650990542,5278.815909360708,1301.9539079920573,1517.9538285799658
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2013,45.2304360457413,3.22054223149114,74597.4109401188,1.02177909772309,2.56412930135558,4.24896896027784,2257.817176864285,129.60885374494887,65.82924096912927,1415.1036409488242,271.1959409382935,162.31807382322575,25.5900120693073,1.56475770823708,141254.232917331,0.151674304409797,1.06629788615587,3.60902498679501,7155.201874163389,111.98502899368188,102.98135508623866,6052.576638749826,756.8343357413252,2245.20404462942
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2014,45.671666095252,3.19391438886024,90024.7679658953,1.02164933770118,2.51572975760701,4.25266429840142,2373.870294132653,147.5963630644512,81.34358181609308,1476.2753212430237,276.9278744748309,156.66816123354505,25.6375448936606,1.56968971281733,189373.146095916,0.149409712547816,1.02554328585513,3.61623611991481,7598.081851335769,157.59809943615133,149.91423867078905,6190.870467047435,906.5995526838387,1898.6821848829259
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2015,45.7498242699302,3.17612419700214,82626.5830015314,1.01994586123379,2.57494646680942,4.33049136190263,2697.105577974231,155.5113200421057,86.96263707414185,1499.6196611223522,272.3714779942031,162.82258318572735,25.7161268592673,1.55510375571787,272362.187556963,0.143842744587969,1.07374258361019,3.6801601318464,8729.40806262973,178.09965351784467,171.68111622290604,6094.842793591938,1096.9596231730272,2619.859938577059
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2016,45.6667013449594,3.18213572854291,87567.0411166743,1.01699676920916,2.53243512974052,4.35451727192206,2769.5834501380023,162.41164478915502,93.05880012647964,1528.4993273790858,279.361472065521,131.58182185317156,25.8858679328516,1.51947261705828,262778.852913715,0.132488338073362,0.973152259568347,3.74016000533164,8427.13978408027,166.10158422448507,157.87339041769368,5740.46253836594,1191.2111561662336,1988.697631480494
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2017,45.5975854645159,3.22520661157025,91350.8867032632,1.01564702565548,2.53305785123967,4.2922192749779,2833.167400109109,163.54344421256323,93.4707859643854,1606.1403221676967,301.60132949933427,151.892730245984,25.9602613611834,1.57922722038988,212499.079103057,0.137069272118591,0.912130225958051,3.71799664218245,8768.726543565403,172.20038128193568,163.87241470098294,6625.828036862137,1642.750701629567,2451.0145892655273
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2018,45.7922800629525,3.25421994884911,90665.9500301024,1.01791507970095,2.56982097186701,4.37701301566292,2927.2165251097763,181.2934561452945,107.64438642029873,1595.7025162273753,310.15614656363977,181.38087107087796,26.0521969751938,1.82620702018253,264874.214849616,0.144853775845472,0.959043428376876,3.84222960300459,8764.002455664957,235.62252552424286,223.01152835569758,5886.264209129913,2371.5660880635455,2863.427810114712
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2019,45.9583038544481,3.16880451513597,116286.50729601,1.01227849867448,2.61159569009749,4.26184267709691,2749.4138406640723,188.7606794093332,114.3458312148709,1420.6377557849705,304.4441878010997,178.520821536574,25.9669363985598,1.47905696454662,361515.712616216,0.112639340393472,1.23870211299782,3.64739859821394,7753.691293337976,247.72274874404397,236.409625516628,4656.850899140944,2410.0616759313175,2229.5266467669626
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2020,45.9758444019154,3.20781696854147,93820.7298800117,1.00805460750853,2.60009532888465,4.15638226776565,2738.18569654973,179.474055146528,106.258781579327,1528.72338241663,277.510613541216,167.238485635917,25.7867806363578,1.45761804272315,206256.506954424,0.0893913961384249,1.02460897339966,3.61345955275554,9650.76803941877,228.430350622402,217.872455538097,7923.39527678847,1298.77270666797,2516.74174442699
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2021,45.850322048501,3.22835394862036,96364.1163522013,1.00410759242083,2.57183634633682,4.07917570498915,,,,,,,25.8698825218166,1.62447811041123,224279.092810256,0.0639629753042646,0.987945601739176,3.52156364027175,,,,,,
WK062900,Gemeente Wassenaar, Wijk Wijk 00 Zuidwestelijk deel der gemeente,2022,45.7773253764332,3.27211538461538,96144.3290962425,1.00091348036017,2.62211538461538,4.08415117978701,,,,,,,25.8428874668747,1.5330231652392,204715.653815107,0.0302120013749327,1.13770117753476,3.51156006771016,,,,,,
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2009,43.0709412268742,3.03090645094379,0.0,1.02478097622028,2.44492843808339,4.06483977238694,2245.830601039266,147.24653984767718,92.98501719498456,1265.180793761768,347.1713808852465,231.05568110657,24.3859452525128,1.44026240540864,0.0,0.16269936461698,0.903959535813525,3.4678374493118,7500.371498302519,149.99210389579082,147.1439360604101,5012.766844817793,1181.4497884862697,4526.59748910474
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2010,43.280487499252,3.03944562899787,0.0,1.0265295887663,2.43049040511727,4.1369038664059,2278.3754763178117,140.45585013561657,75.7877743999278,1286.075787068393,351.0337143276989,236.71261499123275,24.4351234472061,1.4060241593168,0.0,0.168329181226998,0.903045706897289,3.52291864274779,6929.5044522093185,136.84622951492966,130.0496008946112,4646.784423261765,1318.872014040715,3973.6404356328057
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2011,43.4513582775286,2.98685047720042,35841.5321945509,1.02675886951293,2.46405090137858,4.2218879277924,2366.222598026375,146.7899073159453,78.01855641051908,1338.7262989229473,352.28683426254497,234.0254135980646,24.5462259121551,1.4722136284072,51110.0637847388,0.168074681781584,0.893888245792497,3.60276951011271,7304.076916192404,127.31311949518421,120.22940519734274,5180.284372826004,1658.3789717381414,3709.417669641564
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2012,43.5335735092845,3.07931538300981,36190.0469395419,1.02675602136451,2.56856606136506,4.20174232003668,2354.095695369958,130.69991710161705,67.24989604426663,1462.6320620843032,285.19005770739597,194.45375209496032,24.590047881962,2.11041062772907,43953.2310639508,0.168402532891209,1.36869458010923,3.66421520680499,8337.318997101282,119.35554527490072,113.39577960338708,7145.109701751648,927.711810682164,3007.646761921497
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2013,43.7212432186014,3.04544451797926,35463.43654032,1.02646895085784,2.57004191484668,4.1833850931677,2416.4392300925624,129.92064731868817,66.25229750845702,1524.819795138372,262.50175680560335,197.45098406477643,24.636218042139,1.80409938396513,38140.7301233146,0.166411902466701,1.27081189100528,3.63672680403523,9288.601126433987,115.89892775298922,109.74300926221055,8167.620152292039,895.6663462959153,2565.5467106306482
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2014,43.7847773229237,2.98817050785234,38732.6362187151,1.02599488131681,2.54476850907608,4.1993786407767,2427.653321692989,145.73397357382228,80.03650745088423,1508.6060838849457,266.1459507622131,186.06872535500025,24.6908635375768,1.63744147490292,50653.9952087253,0.166521263203715,1.09502820192289,3.68101658512682,8568.583085162329,128.14080751976226,122.06318358292438,7479.751591428213,1041.0331498953321,2101.4384894767854
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2015,43.7199430972403,3.03720545680033,37383.3601825321,1.0251949610078,2.54857379082265,4.17465646470956,2467.770887593275,148.37575630263686,81.19162903043251,1383.7415961032125,279.8382784170361,151.04218147177224,24.743011820655,1.60287774966634,39441.0668867049,0.16358811943928,1.09748949134707,3.65165792022824,8261.598790733704,135.60145375973633,129.49712646444482,6278.521683784567,1762.8360480020933,1967.8044911606648
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2016,43.87144893978,3.14742489270386,39248.2255467881,1.02293006330691,2.53733905579399,4.18537160833661,2579.1939673726997,155.45509507529562,87.11741925956619,1502.0893359243723,259.62487243912034,152.99588822955195,24.8002906172724,11.1430022460428,43445.9630264742,0.157157605622274,1.15251463214615,3.67161219725575,8514.014802195406,134.1373502053118,127.50206925346305,6867.233720776195,991.2693232367153,1791.1383892871884
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2017,43.8981194149541,3.48228995057661,42693.285871733,1.01932727182392,2.54118616144975,4.2094688221709,2670.517910527521,161.8511753382027,92.47561666137624,1519.8729960085666,263.4275552714459,165.29438963463016,24.8996969639928,5.78264880268823,84450.6182132145,0.14505696456332,1.12949071830693,3.6761779112725,9101.796937630514,148.73092367304005,142.4539664314762,7283.313472091908,1063.466285411908,2242.7002908473096
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2018,44.0883475405551,3.11801660309625,40243.5174116288,1.0162989465315,2.49607359210231,4.25875320239112,2719.1884782854177,166.5971353452962,95.29558944328103,1549.7154081378887,262.0797222261329,189.67033714931245,24.9446042018464,4.50712390595976,39787.2873657026,0.132756573411683,0.98964355422617,3.68293630719981,9011.350340226074,155.20150643743455,146.1431096351514,7039.323860000706,1112.3185394938757,2498.023441988982
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2019,44.2203608129005,3.05549486563251,44848.0183621006,1.01542825859752,2.51190736290146,4.23504139978128,2758.488001869039,176.51124294781692,103.43851260285724,1488.3693580668944,276.9201143544401,208.95024451233527,24.9417891453144,5.50130913186706,96082.0205492534,0.128394045227297,1.115059134098,3.64439294100529,9374.359405238944,184.70372036295814,176.03719807958873,7134.025219460509,1244.7864004923179,2696.823932282492
WK062901,Gemeente Wassenaar, Wijk Wijk 01 Noordoostelijk deel der gemeente,2020,44.2061346992415,3.01436303080766,42656.47109375,1.01083890126206,2.5195670274771,4.0842673977905,2618.05175452237,170.72764733323,99.6915705178044,1422.66557300575,265.617901311356,242.929435028249,24.9320995369777,1.63414081032857,44953.9808845688,0.107302714464083,1.13277968676255,3.54765870736977,10162.2242205883,190.515102889814,182.198071057196,8313.27400566951,1065.35744143183,3397.8330886139
