WKC,GMN,Wijknaam,YEAR,Total_Population,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_AGE_CAT_71to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,%_Lung_Cancer_patients,%_Colon_Cancer_patients,%_Back_pain_patients,%_JGDHULP_user,%_GEDETINEERDENTAB,%_SHNTAB,%_HBOPL_Low,%_HBOPL_Mid,%_HBOPL_High,%_HGOPL_Low,%_HGOPL_Mid,%_HGOPL_High
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2010,9730,0.527235354573484,0.2132579650565262,0.2805755395683453,0.29958890030832475,0.14388489208633093,0.04984583761562179,0.048304213771839674,0.7733812949640287,0.1485097636176773,0.0775950668036999,0.0020554984583761563,0.022610483042137718,0.006166495375128468,0.010277492291880781,0.1721479958890031,0.01593011305241521,0.0,0.0,0.0,0.0,0.0,0.0,0.03186022610483042,0.07348406988694758,0.0,0.0,0.0,0.008735868448098663,0.0,0.0,0.9486125385405961,0.7163412127440905,0.5868448098663926,0.04984583761562179,0.20503597122302158,0.21428571428571427,0.045734840698869475,0.0328879753340185,0.17728674203494346,0.09095580678314491,0.011305241521068859,0.014388489208633094,0.008221993833504625,0.007708119218910586,0.01695786228160329,0.0025693730729701952,0.003083247687564234,0.0025693730729701952,0.005652620760534429,0.006166495375128468,0.0041109969167523125,0.0,0.0,0.01079136690647482,0.0,0.0,0.0,0.0,0.0,0.0
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2011,9810,0.5259938837920489,0.21763506625891946,0.27522935779816515,0.2996941896024465,0.1472986748216106,0.05045871559633028,0.04332313965341488,0.7675840978593272,0.15086646279306828,0.08154943934760449,0.0030581039755351682,0.022426095820591234,0.006625891946992864,0.010703363914373088,0.7935779816513762,0.014271151885830785,0.44954128440366975,0.009683995922528032,0.00815494393476045,0.004077471967380225,0.019877675840978593,0.15545361875637104,0.03160040774719674,0.08256880733944955,0.024974515800203875,0.5744138634046891,0.0,0.00815494393476045,0.0,0.0,0.9668705402650357,0.6972477064220184,0.5927624872579002,0.0581039755351682,0.2054026503567788,0.21151885830784914,0.05147808358817533,0.03160040774719674,0.17787971457696228,0.09225280326197757,0.011213047910295617,0.013761467889908258,0.00815494393476045,0.00764525993883792,0.016819571865443424,0.0030581039755351682,0.0030581039755351682,0.0025484199796126403,0.0056065239551478085,0.0061162079510703364,0.004077471967380225,0.0,0.0,0.012232415902140673,0.0,0.0,0.0,0.0,0.0,0.0
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2012,9820,0.5254582484725051,0.2214867617107943,0.2724032586558045,0.2973523421588595,0.15274949083503056,0.05244399185336049,0.04429735234215886,0.7632382892057027,0.15173116089613034,0.0845213849287169,0.002036659877800407,0.024439918533604887,0.007128309572301426,0.010183299389002037,0.7942973523421588,0.01374745417515275,0.4455193482688391,0.010692464358452138,0.007637474541751527,0.004073319755600814,0.019348268839103868,0.159877800407332,0.03004073319755601,0.07382892057026477,0.03004073319755601,0.5697556008146639,0.0,0.008655804480651732,0.0,0.0,0.9704684317718941,0.6960285132382892,0.5687372708757638,0.048879837067209775,0.20723014256619143,0.20061099796334012,0.04480651731160896,0.032586558044806514,0.17769857433808553,0.09266802443991853,0.01120162932790224,0.013238289205702648,0.008146639511201629,0.007637474541751527,0.01680244399185336,0.003054989816700611,0.003054989816700611,0.0025458248472505093,0.00560081466395112,0.006109979633401222,0.003564154786150713,0.0,0.0,0.010183299389002037,0.0,0.0,0.0,0.0,0.0,0.0
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2013,9820,0.5269857433808554,0.2225050916496945,0.26731160896130346,0.30091649694501016,0.15835030549898166,0.053462321792260695,0.03920570264765784,0.7606924643584522,0.15224032586558045,0.08757637474541752,0.002036659877800407,0.024439918533604887,0.007128309572301426,0.01120162932790224,0.8044806517311609,0.012219959266802444,0.43686354378818737,0.013238289205702648,0.009674134419551934,0.0050916496945010185,0.020366598778004074,0.15885947046843177,0.0274949083503055,0.06466395112016293,0.03665987780040733,0.579938900203666,0.0,0.008655804480651732,0.0,0.0,0.9745417515274949,0.6720977596741344,0.5631364562118126,0.04837067209775967,0.1990835030549898,0.19195519348268839,0.04531568228105906,0.032586558044806514,0.1690427698574338,0.09063136456211812,0.010692464358452138,0.012729124236252547,0.008146639511201629,0.007637474541751527,0.016293279022403257,0.003054989816700611,0.003054989816700611,0.0025458248472505093,0.0050916496945010185,0.00560081466395112,0.003564154786150713,0.0,0.0,0.0,0.2540733197556008,0.15122199592668026,0.23574338085539714,0.20773930753564154,0.12830957230142567,0.3004073319755601
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2014,9990,0.53003003003003,0.22572572572572572,0.2602602602602603,0.2982982982982983,0.16266266266266266,0.05405405405405406,0.03803803803803804,0.7587587587587588,0.15315315315315314,0.08708708708708708,0.003003003003003003,0.024024024024024024,0.0065065065065065065,0.010510510510510511,0.8028028028028028,0.011011011011011011,0.42342342342342343,0.015515515515515516,0.010510510510510511,0.006006006006006006,0.02002002002002002,0.16016016016016016,0.027527527527527528,0.07657657657657657,0.03553553553553553,0.5670670670670671,0.0,0.011011011011011011,0.0,0.0,0.9714714714714715,0.6681681681681682,0.556056056056056,0.057057057057057055,0.1996996996996997,0.18868868868868868,0.04504504504504504,0.03153153153153153,0.16316316316316315,0.0920920920920921,0.010510510510510511,0.013013013013013013,0.008008008008008008,0.007007007007007007,0.015515515515515516,0.003003003003003003,0.003003003003003003,0.0025025025025025025,0.005005005005005005,0.0055055055055055055,0.004004004004004004,0.0,0.0,0.011011011011011011,0.25475475475475473,0.15165165165165165,0.24274274274274274,0.2122122122122122,0.12612612612612611,0.3083083083083083
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2015,10020,0.529441117764471,0.23053892215568864,0.25499001996007986,0.29890219560878245,0.16716566866267465,0.05588822355289421,0.0374251497005988,0.7564870259481038,0.1596806387225549,0.0843313373253493,0.00249500998003992,0.023453093812375248,0.006487025948103792,0.00998003992015968,0.8028942115768463,0.010978043912175649,0.42564870259481036,0.011976047904191617,0.010479041916167664,0.00499001996007984,0.019461077844311378,0.15768463073852296,0.023952095808383235,0.08932135728542914,0.03293413173652695,0.5593812375249501,0.0,0.008982035928143712,0.04091816367265469,0.015968063872255488,0.9710578842315369,0.6586826347305389,0.5548902195608783,0.04241516966067864,0.2000998003992016,0.18812375249500998,0.04740518962075848,0.03093812375249501,0.16167664670658682,0.09481037924151696,0.010479041916167664,0.012974051896207584,0.007984031936127744,0.006487025948103792,0.014471057884231538,0.00249500998003992,0.00249500998003992,0.00249500998003992,0.004491017964071856,0.0054890219560878245,0.003493013972055888,0.020958083832335328,0.0,0.00998003992015968,0.2569860279441118,0.15718562874251496,0.2440119760479042,0.21407185628742514,0.13023952095808383,0.31137724550898205
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2016,10020,0.5279441117764471,0.22604790419161677,0.25499001996007986,0.29890219560878245,0.17165668662674652,0.05738522954091816,0.03642714570858283,0.7504990019960079,0.16417165668662675,0.08582834331337326,0.00249500998003992,0.022954091816367265,0.006487025948103792,0.00998003992015968,0.8003992015968064,0.010479041916167664,0.42714570858283435,0.011477045908183632,0.009481037924151697,0.004491017964071856,0.01996007984031936,0.15818363273453093,0.01996007984031936,0.08882235528942116,0.03293413173652695,0.5469061876247505,0.0,0.008483033932135729,0.04241516966067864,0.015968063872255488,0.969560878243513,0.6646706586826348,0.5713572854291418,0.04291417165668663,0.20209580838323354,0.19261477045908185,0.04790419161676647,0.03143712574850299,0.16417165668662675,0.09481037924151696,0.010978043912175649,0.0124750499001996,0.007984031936127744,0.005988023952095809,0.013972055888223553,0.00249500998003992,0.0029940119760479044,0.00249500998003992,0.003992015968063872,0.00499001996007984,0.003493013972055888,0.022954091816367265,0.0,0.011477045908183632,0.25998003992015967,0.16417165668662675,0.25199600798403193,0.21157684630738524,0.13572854291417166,0.3248502994011976
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2017,10050,0.5258706467661691,0.22885572139303484,0.24825870646766168,0.2990049751243781,0.1761194029850746,0.06218905472636816,0.03731343283582089,0.7507462686567165,0.1626865671641791,0.08706467661691543,0.0024875621890547263,0.022885572139303482,0.006467661691542288,0.009950248756218905,0.8104477611940298,0.008955223880597015,0.42587064676616915,0.011442786069651741,0.00945273631840796,0.004477611940298508,0.01890547263681592,0.15920398009950248,0.013930348258706468,0.08706467661691543,0.02935323383084577,0.527363184079602,0.0,0.007960199004975124,0.04079601990049751,0.015920398009950248,0.9706467661691542,0.6621890547263681,0.5791044776119403,0.04378109452736319,0.20398009950248755,0.19203980099502488,0.04975124378109453,0.030845771144278607,0.16616915422885573,0.0945273631840796,0.010447761194029851,0.010945273631840797,0.007462686567164179,0.005472636815920398,0.014427860696517412,0.0024875621890547263,0.0024875621890547263,0.0024875621890547263,0.003482587064676617,0.004975124378109453,0.0029850746268656717,0.026865671641791045,0.0,0.00945273631840796,0.25970149253731345,0.1691542288557214,0.25920398009950246,0.21144278606965175,0.13880597014925372,0.33482587064676617
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2018,10110,0.526706231454006,0.22799208704253215,0.24826904055390703,0.2962413452027695,0.1785361028684471,0.06429277942631058,0.03758654797230465,0.7438180019782393,0.16913946587537093,0.08704253214638971,0.002967359050445104,0.021760633036597428,0.006923837784371909,0.008902077151335312,0.8031651829871415,0.010880316518298714,0.42631058358061324,0.008902077151335312,0.00791295746785361,0.004945598417408506,0.019287833827893175,0.15924826904055392,0.010880316518298714,0.0702274975272008,0.024727992087042534,0.5029673590504451,0.0,0.006429277942631058,0.040553907022749754,0.01582591493570722,0.9703264094955489,0.6706231454005934,0.576162215628091,0.04302670623145401,0.20079129574678536,0.1913946587537092,0.04896142433234421,0.028684470820969338,0.16369930761622156,0.09446092977250248,0.009396636993076163,0.009396636993076163,0.006923837784371909,0.005440158259149357,0.013353115727002967,0.002472799208704253,0.002472799208704253,0.002472799208704253,0.002967359050445104,0.004945598417408506,0.002472799208704253,0.02274975272007913,0.0,0.011869436201780416,0.25667655786350146,0.17260138476755688,0.2705242334322453,0.20820969337289813,0.1414441147378833,0.3466864490603363
WK051819,Gemeente 's-Gravenhage, Wijk Wijk 19 Vruchtenbuurt,2019,10130,0.5266535044422508,0.22704837117472854,0.24925962487660414,0.2946692991115499,0.18065153010858837,0.06712734452122408,0.037018756169792694,0.7314906219151036,0.17522211253701875,0.09328726554787758,0.0034550839091806516,0.022211253701875617,0.00839091806515301,0.01085883514313919,0.8035538005923001,0.0029615004935834156,0.42398815399802564,0.007403751233958539,0.00839091806515301,0.004935834155972359,0.0192497532082922,0.1579466929911155,0.00839091806515301,0.0700888450148075,0.02665350444225074,0.4921026653504442,0.0,0.007403751233958539,0.04096742349457058,0.01579466929911155,0.9654491609081934,0.6599210266535045,0.5715695952615992,0.04639684106614018,0.20039486673247778,0.1880552813425469,0.04837117472852912,0.028627838104639685,0.16041461006910168,0.09328726554787758,0.009378084896347482,0.00839091806515301,0.006910167818361303,0.004935834155972359,0.012339585389930898,0.0019743336623889436,0.0024679170779861796,0.0024679170779861796,0.0024679170779861796,0.004442250740375123,0.0029615004935834156,0.02319842053307009,0.0,0.011352418558736426,0.25765054294175715,0.16929911154985192,0.28232971372161897,0.2058242843040474,0.14067127344521224,0.35538005923000987
