GMC,gem_name,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
GM0484,Alphen aan den Rijn,2009,38.2981811605478,,0.0886619653814452,0.133263119333272,3.73629195648527,2009.2008251352026,137.06372579257499,83.05728400585066,1099.0181295446616,303.19944109472556,226.9513039908589
GM0484,Alphen aan den Rijn,2010,38.5843953801201,,0.0857681950576123,0.161827474399604,3.79621680328929,2030.8854038983281,139.57586696167422,77.21411248512578,1104.5951230794847,304.4062972092751,227.20725410041592
GM0484,Alphen aan den Rijn,2011,38.9256176088895,28359.7724730981,0.0861715373910496,0.176664469347396,3.85198413221398,2082.9614132875413,156.5056261060421,89.60900147638755,1131.3154407902973,297.97046735361016,245.2626974058506
GM0484,Alphen aan den Rijn,2012,39.2827942036833,28466.6078793966,0.0818937470788236,0.17880806840364,3.80686626746507,2003.9387109967283,153.79576673642285,92.27667354925916,1135.2883494358564,261.4375345739549,207.22760777636665
GM0484,Alphen aan den Rijn,2013,39.6691812261951,28694.017651718,0.378354484003463,0.534811117455289,3.83807678664011,2142.758524517177,152.00455509423932,89.86207598800021,1216.611423831442,243.8862693101277,249.90133804914015
GM0484,Alphen aan den Rijn,2014,39.9390953528218,29817.5581740323,0.0866296532265405,0.183489578592883,3.8576241255179,2123.972404879486,163.23055237051705,99.05212379722887,1229.6916160743879,242.9875860096074,206.65849404598316
GM0484,Alphen aan den Rijn,2015,40.214487384979,29821.3117399504,0.0859932611137278,0.186804825912105,3.89268140597254,2200.279289408008,163.37073225651835,97.50309379400301,1189.0123243016092,256.57489892231354,162.44007348836763
GM0484,Alphen aan den Rijn,2016,40.4802248476659,31272.5056165256,0.0998716947951154,0.215086179824679,3.90622319897084,2249.2612836141143,173.91888602119474,106.95399611252883,1216.9922053443265,255.49398686364168,159.2436166198107
GM0484,Alphen aan den Rijn,2017,40.7005244807963,32243.9501183091,0.0992431662363102,0.21613391505654,3.91616269735082,2338.5298452265106,179.4264217602784,111.4284292064861,1280.472416978336,252.9051797655539,159.74632837629386
GM0484,Alphen aan den Rijn,2018,40.8869767509823,32871.7897924267,0.0994947361008415,0.215995915636773,3.94444959535888,2385.867904456069,184.48974719510923,114.86128263645925,1288.0163598878032,257.23213652761785,181.76264645027396
GM0484,Alphen aan den Rijn,2019,41.0980998002825,35247.8324621881,0.0932541588438196,0.207885429856351,3.90389374473463,2425.2441849526003,188.63197835212725,118.20540430476275,1322.8226952811797,255.27412460855976,192.93863107620268
GM0484,Alphen aan den Rijn,2020,41.3474851407027,35895.5415402681,0.096807504403891,0.211326026779129,3.8381285107549,2315.70100504703,184.26962042228,116.274758998265,1231.01629250275,258.13587607621,207.838716316517
GM0484,Alphen aan den Rijn,2021,41.5500759598072,37079.7529318739,0.083344870552402,0.190121833033366,3.86798661989951,,,,,,
GM0484,Alphen aan den Rijn,2022,41.6827248277466,38932.6400678667,0.0842361794005729,0.194578648082432,3.88770463621697,,,,,,
GM0503,Delft,2009,37.9293929605217,,0.134674027081883,0.222371478717876,3.90196528606851,2119.5172092412336,121.90488722390612,68.11867034988785,1154.6503772977846,331.13598172322213,278.38299350878106
GM0503,Delft,2010,37.8654931493401,,0.144681967978069,0.299649061409393,3.96559563041621,2179.460819853488,125.05194128431393,63.16746026867424,1179.8856170598758,331.3222991282737,304.3968592059759
GM0503,Delft,2011,37.9213373860155,24614.3440053698,0.140140333897895,0.320493588192596,4.01491979442454,2200.9276033918973,138.62484462609353,72.11477137116584,1196.109205973566,324.4527592766408,300.54412657112476
GM0503,Delft,2012,37.9677379881049,24675.6858426871,0.135093647422282,0.32097895346592,3.957454825188,2075.214794301616,131.9799350321977,71.32128672828321,1142.2593546877877,281.3984960649961,298.4842864708636
GM0503,Delft,2013,38.0086823514178,24933.0834006548,0.12848662978331,0.320750729983095,3.94497732408388,2150.2893878669584,132.59321963574007,71.10417654468702,1191.760722928333,259.6797038873605,301.96130146256155
GM0503,Delft,2014,37.984426354103,25910.8286576742,0.135122020836307,0.340174111602683,3.95166392509174,2113.2438934101924,141.2539996446007,77.84579184633759,1190.2121626253245,255.44581817957837,259.647234528676
GM0503,Delft,2015,38.0469990278189,25759.9485734635,0.140759407328811,0.338265944143393,3.9850390320683,2229.96803173913,144.41061132006595,79.41703540793625,1145.4211502778753,270.83576787468877,241.84817757847705
GM0503,Delft,2016,38.1048148992601,26706.5154766645,0.135385577442369,0.324464910036667,4.00309314143231,2385.444634412501,149.52367487991904,83.43311776532818,1290.079394501578,267.30576242889845,245.70349128893932
GM0503,Delft,2017,38.1323627227986,27707.3179508625,0.150222907770734,0.362511991873742,4.00130202130869,2411.469757165074,149.74550702761064,83.21388138477258,1302.3549629117867,266.52052445757585,258.55844091857034
GM0503,Delft,2018,38.1937631161106,27888.1826536414,0.129913987723193,0.326874638505887,4.02177946911561,2416.2086858718676,160.47101000971057,97.60148770901347,1319.7830166262447,265.9501296225605,242.54114324625394
GM0503,Delft,2019,38.2513534612735,30682.004637866,0.131077459499059,0.330118604931517,3.98389912403753,2422.1514193193743,159.84927215698474,96.27828464372206,1295.3726524019105,273.5555091095419,253.93077616224028
GM0503,Delft,2020,38.3365970611995,31208.1447256997,0.137562564183219,0.340136369103239,3.92137278946689,2321.61621844013,160.702524493135,97.285527896999,1202.88716905927,266.120024172462,265.652892802526
GM0503,Delft,2021,38.3311940346338,32340.2640132771,0.139698787984599,0.33159050603251,3.93374741200828,,,,,,
GM0503,Delft,2022,38.3981767099273,33972.1803608424,0.131304300311458,0.3171502467989,3.97912933325094,,,,,,
GM0518,'s-Gravenhage,2009,37.5604854262906,,0.161410355932634,0.258624566645223,4.23175650378371,2314.974133191878,133.1140950010357,79.38832045039793,1188.0435987185565,357.5986236968445,392.58148726597807
GM0518,'s-Gravenhage,2010,37.5571663679862,,0.151472279910752,0.301919676978545,4.32373420730309,2345.6858399356743,131.40005938324208,69.80123514746053,1219.8883456401331,364.61560563804557,370.9037363654318
GM0518,'s-Gravenhage,2011,37.6023489722524,25905.4438049656,0.134553016469179,0.294995497234015,4.40971003121525,2375.0666972467175,140.50470679727005,73.88585893668933,1251.3859458005218,363.76526440401636,342.2854145097399
GM0518,'s-Gravenhage,2012,37.6772725662678,26022.2090629018,0.131325390873232,0.298136136285135,4.32165971258994,2289.8669443604717,131.9957544492291,71.61885649045955,1297.523258356153,312.44057217730784,283.14397298789214
GM0518,'s-Gravenhage,2013,37.7674596949081,26215.7275776345,0.137821539674806,0.311275239288646,4.28808288091417,2324.9028861462334,136.7780227143653,75.60352262302722,1280.1331226401192,290.0269737913144,325.0960521470757
GM0518,'s-Gravenhage,2014,37.864537875963,27636.8231240151,0.133748009198584,0.308107427123036,4.31104542935501,2318.911794957709,145.95346654289517,82.9758134655586,1293.2153962538073,279.76780366324243,290.3985541563366
GM0518,'s-Gravenhage,2015,37.9612660154897,27617.1059492453,0.134415206206737,0.310730740223568,4.33917923535602,2449.4562319083743,147.7220010582896,83.26072513769668,1257.0478418814764,304.9804259547754,276.1571946285629
GM0518,'s-Gravenhage,2016,38.0556145686602,28734.9689541123,0.133756220972642,0.311335789405649,4.35737936366539,2565.2852918596473,155.90188390541573,90.3597174151802,1333.6563126873846,309.7735138742885,278.0800346538746
GM0518,'s-Gravenhage,2017,38.1392017114275,29887.7324486998,0.133280306775663,0.313633237435534,4.36888675242937,2594.9857487969966,158.79092083866234,93.03844753453956,1330.7309150728297,300.2027632701401,265.0747046813385
GM0518,'s-Gravenhage,2018,38.2701908063416,30059.0362932147,0.121811869599145,0.292758879801162,4.40340664673895,2666.011147429213,171.9602694931002,106.3175958917295,1351.6284613941125,296.25416947243804,291.8025165777729
GM0518,'s-Gravenhage,2019,38.3861466273592,32316.4157347621,0.119042565146275,0.288190102796353,4.31843456888095,2615.2188126539468,178.51616095756745,112.813092334564,1318.4888462820809,289.52642636068697,293.3432163426906
GM0518,'s-Gravenhage,2020,38.6123882798403,33040.396394554,0.125716886824869,0.297574894525978,4.22361234945199,2465.12159150352,175.332246891166,110.976199995221,1207.17691513929,285.547521444761,297.108562552792
GM0518,'s-Gravenhage,2021,38.7600965299858,34519.4279904906,0.124042897875686,0.290649466239119,4.25299676683257,,,,,,
GM0518,'s-Gravenhage,2022,38.8548485914244,36274.2411086455,0.121914507767533,0.287588401268579,4.26797157461663,,,,,,
GM0534,Hillegom,2009,40.527924400345,,0.0985101283075622,0.143582271936833,4.00933670492122,2162.597652532931,139.72766647789186,85.66845416211997,1172.5009823347546,346.06724693465236,236.84749942345294
GM0534,Hillegom,2010,40.799961587362,,0.0842559579658473,0.154672546443986,4.0900675024108,2197.3451115182315,142.2532902390971,80.29954420885221,1155.8269386137329,349.57509914887646,274.3326412021893
GM0534,Hillegom,2011,40.9617238763453,28411.0567904776,0.0890544946436889,0.183185840707965,4.15273081924577,2246.927798168917,153.87338898471634,86.08793144141896,1250.2696666063446,343.22786620479275,216.21758046054504
GM0534,Hillegom,2012,41.2645506344772,28289.3220411664,0.0839765646796243,0.182181716730215,4.02616413857058,2092.537890085545,147.1618874915897,84.81475333934776,1203.4063422465454,292.0063425446759,178.61605788426328
