Total_Population,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,%_HGOPL_Low,%_HGOPL_Mid,%_HGOPL_High,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC
8708.0,2021.0,43.60046281208124,3.0643072546582077,52693.58825768504,1.0040812334046116,2.5429734670177613,3.860312259379959,2378.762485235491,104.4139510385392,1325.177678241315,230.80124122350304,242.33855791920763,0.5190988901915383,0.2612926792682908,0.15935075045108021,0.3026565299802034,0.23217730537553347,0.04186142102539183,0.772369445798678,0.15237148456927427,0.07942206672288322,0.0025277469314951835,0.01208949325683714,0.005546432043569183,0.01015725624410228,0.8561157842095692,0.0011275172858708105,0.3271478369658277,0.004779317825320945,0.010019690025411622,0.007223664134709215,0.013123064228458716,0.22026118773801828,0.0025724769032870547,0.05563967262720485,0.028829544555212444,0.3968616553065878,0.0,0.00401673022787018,0.029487981585870342,0.020025906272670455,0.9648826702668486,0.6473332055870106,0.5545228166130046,0.04608419124979008,0.21695001001781375,0.19862622260927887,0.045405989118858056,0.028746870922719905,0.1754923503963279,0.0884234208700098,0.01802234651864456,0.012286138200333457,0.005452481438063772,0.005057374882060747,0.01175899486034781,0.001801536587135694,0.0032820271254264065,0.002027295151576134,0.22421795819209783,0.11821256180357417,0.35781134666647124,167.77420894287792,175.44161129917768, Wijk 01 Oostduinen,WK051801
8736.439393939394,2022.0,43.84424712727902,3.070789565937613,54932.78476933775,1.0014304342954825,2.5094590507299483,3.843097477141466,2396.327051009742,110.88494329060691,1326.3509331612947,224.34078245400053,260.06767026078796,0.519548739598287,0.2605688981159475,0.15883801681496437,0.3039162016181399,0.2345727234105772,0.039372204423961034,0.76956791757625,0.15253009848620497,0.0823969215149438,0.002330222360630879,0.01238019858777983,0.0061974461537417395,0.010575004194234343,0.8688638502729622,0.00040644329525380603,0.332751298726942,0.00442670418362069,0.010488094357712386,0.007702342851912947,0.013490683115971798,0.2225378647395869,-7.743536422180829e-05,0.0517186906135327,0.028929715325468272,0.38648038629403336,0.0,0.003473716618146553,0.03029604062501764,0.020921053586923997,0.9657856817447441,0.6417117771864,0.5481321276748762,0.04717652875832631,0.21507432707109783,0.19616394122272496,0.04388864835866623,0.028127833695670904,0.17330546558914242,0.08624676165610717,0.017840926174582463,0.0115863075457283,0.0053860260137761785,0.004322450631817053,0.010820421864233359,0.0013936140533314537,0.003074286595123568,0.0020263937021135965,0.23106281612341203,0.12327132789712841,0.3751569923325643,175.23926390526125,182.51362579329864, Wijk 01 Oostduinen,WK051801
8766.747474747475,2023.0,44.08672035108925,3.079507129838407,57284.4859222518,0.9988510007033032,2.48112108576702,3.827294164127796,2414.6238710128146,117.01196879854147,1328.7031538126553,217.72651472345078,275.13863319273764,0.519956115849812,0.26012993175286786,0.15821833728838036,0.30511949044220593,0.23702589403221846,0.03703106907547223,0.7668244872433564,0.15270551681626993,0.0852796796037256,0.0021726076590213553,0.012643234397339075,0.0068058297902008815,0.010936796130776257,0.8845099088089586,-0.00024391857736222487,0.3397265757549693,0.004157265173278689,0.010983711431111771,0.008166309556374414,0.013864927910077636,0.22606476990033791,-0.0026415070600081356,0.04821582629292974,0.029212174735337607,0.379667395049345,0.0,0.0029759580082351104,0.03155335780593855,0.022048695806154928,0.9670540030767371,0.6362316748123811,0.5425266071656065,0.04812814034841945,0.21337325666326154,0.19381129087672738,0.042564236418989466,0.027597175134145807,0.1712135923675231,0.08447849683899246,0.017674119876433077,0.010916161023457584,0.0053119274954186195,0.003616417204208021,0.009909971927483526,0.0010240355082558438,0.00287752426746725,0.0020249687323824974,0.24050938400254437,0.12944066932816684,0.3955035052269886,182.48375432328424,189.25142942093586, Wijk 01 Oostduinen,WK051801
8798.924242424242,2024.0,44.32788248351194,3.090459946360588,59748.69171642718,0.9963429326280738,2.4579595721289755,3.8129023203389476,2433.65294524471,122.7950275623429,1332.2343401953963,210.9584380318539,287.5514467150567,0.5203210189461136,0.2599757801790519,0.15749171187132824,0.3062663964524014,0.23953681724045725,0.03483801497992542,0.7641391547999968,0.15289773955946914,0.08807034098922864,0.002054902826666613,0.01287860068551487,0.007371582952946611,0.011242632053728023,0.9030539598175582,-0.000823568331977284,0.3480736680499095,0.00397100079429494,0.011506541245609778,0.008615564248093613,0.014245798610776229,0.2308419032202713,-0.0051197381840719335,0.045131079665395965,0.029676922784820457,0.37642268157252284,0.0,0.0025234543981358516,0.03325993312863303,0.02340883293036325,0.9686876342628274,0.6308928984649536,0.5377062550851957,0.04893902602006952,0.2118467987943049,0.19156827157128622,0.041432753299827735,0.027154895238144613,0.16921673073146992,0.08311862641866567,0.01752192762419641,0.01027569863352131,0.0052301858829910935,0.0029392745992336522,0.009027645050098313,0.0006928009519088639,0.0026917401424574536,0.002023020242382837,0.25255766182949485,0.13672058609668944,0.41885088534974396,189.50768019694715,195.6550221820892, Wijk 01 Oostduinen,WK051801
8832.969696969698,2025.0,44.56773352454708,3.103648015504158,62325.4021518639,0.9939062300697946,2.4399745098158148,3.799921945774922,2453.414273705427,128.23411958201112,1336.944492309518,204.03655237920972,297.3061108277451,0.5206434488871916,0.26010644339449956,0.15665814056380797,0.30735691964872636,0.2421054930352936,0.0327930421373206,0.7615119202461713,0.15310676671580256,0.09076890567145289,0.0019771078635666523,0.013086297452307218,0.007894705641978927,0.01149251196308964,0.924496003298761,-0.0013325059685913687,0.3577925756117628,0.003867911046669446,0.012056583801206406,0.009050106927070548,0.014633295218067575,0.23686926469938716,-0.007512128736413195,0.042464450730931365,0.030323959473916813,0.3767462458635668,0.0,0.002116205787848778,0.03541576659310114,0.02500146495954896,0.970686575303015,0.6256954481441176,0.5336710714336435,0.049609185773276505,0.2104949534642279,0.1894348833064014,0.04049419900118105,0.026800994007667323,0.1673148806809829,0.08216715039512683,0.017384349417872456,0.009664920375919478,0.0051408011764936005,0.002291022816893946,0.008173441232077722,0.0003999103842905148,0.002516934220094179,0.0020205482321146153,0.2672076496042636,0.14511107820269623,0.44519913270083056,196.31104152624962,201.7244040767587, Wijk 01 Oostduinen,WK051801
8868.88383838384,2026.0,44.80627347419466,3.1190713372691157,65014.61722856196,0.991540893028465,2.427165898827538,3.788353040435718,2473.907856394967,133.3292448575462,1342.8336101550206,196.9608577655184,304.40262553080277,0.5209234056730461,0.260521921399211,0.15571762336581957,0.30839106003118083,0.2447319214167275,0.03089615054765778,0.75894278358188,0.15333259828527024,0.09337537365039836,0.0019392227697214736,0.013266324697716119,0.008375197857297829,0.011686435858861107,0.9488360392525671,-0.0017707314872044803,0.3688832984405292,0.0038479959304022044,0.012633839097901658,0.009469937593305215,0.015027417731951672,0.24414685433768535,-0.00981867871703192,0.04021593948953594,0.03115328480262668,0.3806380879224769,0.0,0.0017542121773738888,0.03802085819934284,0.02682659189371206,0.9730508261973001,0.6206393238498731,0.53042105621095,0.05013861960804041,0.2093177206730305,0.18741112608207297,0.03974857352304941,0.026535471442713936,0.16550804221606205,0.0816240687683759,0.017261385257461213,0.009083826250652087,0.005043773375926141,0.001671661857188903,0.0073473604734217495,0.00014536380540079683,0.002353106500377426,0.002017552701577832,0.2844593473268504,0.15461214564618722,0.4745482472802483,202.8938383111919,207.45957510494438, Wijk 01 Oostduinen,WK051801
8906.666666666666,2027.0,45.04350233245471,3.136729911655461,67816.33694652136,0.9892469215040857,2.419533739164146,3.7781956043213367,2495.1336933133284,138.08040338894813,1349.9016937319036,189.73135419077985,308.84099082422995,0.5211608893036771,0.26122221419318603,0.15467016027736305,0.3093688175997647,0.24741610238475892,0.029147340210936942,0.7564317448071232,0.15357523426787215,0.09588974492606507,0.0019412475451310756,0.013418682421741572,0.00881305959890332,0.011824403741042426,0.9760740676789765,-0.0021382448878166185,0.3813458365362085,0.003911255445493217,0.013238307135695529,0.009875056246797614,0.015428166152428527,0.252674672135166,-0.012039388125928117,0.0383855459412097,0.03216489877095006,0.38809820774925324,0.0,0.0014374735667111835,0.041075207947358125,0.02888421373285255,0.9757803869456823,0.6157245255822201,0.5279562094171153,0.05052732752436124,0.20831510042071275,0.1854969998983009,0.03919587686543282,0.026358327543284453,0.16379621533670732,0.08148938153841291,0.017153035142962687,0.008532416257719137,0.0049391024812887145,0.001081191720118523,0.006549402774130397,-7.083878476029156e-05,0.002200256983307194,0.0020140336507724877,0.30431275499725546,0.1652237884271624,0.5068982290879971,209.25607055177386,212.86053526664622, Wijk 01 Oostduinen,WK051801
8946.318181818182,2028.0,45.2794200993272,3.1566237386631943,70730.56130574209,0.9870243154966561,2.417078030825637,3.769449637431777,2517.0917844605124,142.4875951762169,1358.1487430401676,182.3480416549941,310.6212067080265,0.5213558997790845,0.2622073217764247,0.15351575129843842,0.3102901923544782,0.2501580359393879,0.0275466111271581,0.7539788039219002,0.15383467466360826,0.09831201949845297,0.0019831821897954597,0.013543370624383577,0.0092082908667954,0.011906415609633599,1.0062100885779892,-0.0024350461704277845,0.3951801898988009,0.004057689591942482,0.013869987914588027,0.010265462887547748,0.015835540479498134,0.262452718091829,-0.01417425696310178,0.036973270085952636,0.03335880137888694,0.39912660534389566,0.0,0.0011659899558606626,0.04457881583714703,0.031174330476970432,0.978875257548162,0.6109510533411585,0.5262765310521395,0.05077530952223898,0.2074870927072746,0.1836925047550852,0.03883610902833127,0.026269562309378873,0.16217940004291875,0.08176308870523784,0.01705929907437688,0.008010690397120629,0.0048267884925813215,0.0005196124056828043,0.005779568134203665,-0.0002486973861927485,0.002058385668883484,0.002009991079698582,0.3267678726154787,0.17694600654562176,0.5422490781240772,215.39773824799568,217.9272845618642, Wijk 01 Oostduinen,WK051801
8987.838383838385,2029.0,45.51402677481214,3.1787528182923164,73757.29030622415,0.9848730750061765,2.4197987738120124,3.76211513976704,2539.7821298365184,146.5508202193525,1367.5747580798122,174.8109201581611,309.74327318219224,0.5215084370992683,0.2634772441489271,0.15225439642904562,0.3111551842953211,0.2529577220806144,0.026093963296321247,0.7515839609262115,0.15411091947247865,0.10064219736756214,0.0020650267037146254,0.013640389305642136,0.009560891660974062,0.01193247146463462,1.039244101949605,-0.002661135335037976,0.41038635852830635,0.004287298369750002,0.014528881434579146,0.010641157515555619,0.016249540713160496,0.2734809922076745,-0.016223285228552903,0.035979111923764774,0.03473499262643734,0.4137232807064044,0.0,0.0009397613448223263,0.04853168186870952,0.0336969421260657,0.982335438004739,0.6063189071266886,0.5253820211160223,0.05088256560167364,0.20683369753271613,0.18199764065242588,0.038669270011744764,0.026269175740997196,0.16065759633469634,0.0824451902688507,0.016980177051703783,0.007518648668856562,0.0047068314098039615,-1.3076086118249657e-05,0.005037856553641553,-0.0003882119988965754,0.0019274925571062956,0.0020054249883561153,0.3518247001815201,0.18977880000156533,0.5806007943884883,221.31884139985715,222.65982299059837, Wijk 01 Oostduinen,WK051801
9031.227272727272,2030.0,45.74732235890954,3.203117150542825,76896.52394796755,0.982793200032647,2.4276959681232717,3.7561921113271244,2563.204729441347,150.2700785183549,1378.1797388508373,167.11998970028094,306.2071902467274,0.5216185012642287,0.2650319813106931,0.15088609566918468,0.31196379342229347,0.25581516080843847,0.024789396718426386,0.7492472158200569,0.15440396869448328,0.1028802785333925,0.0021867810868885723,0.013709738465517247,0.009870861981439313,0.011902571306045493,1.0751761077938242,-0.002816512381647195,0.42696434242472464,0.0046000817789157745,0.015214987695668886,0.011002140130821219,0.016670166853415613,0.2857594944827024,-0.018186472922281496,0.03540307145464608,0.036293472513601245,0.43188823383677916,0.0,0.0007587877335961746,0.052933806042045624,0.03645204868013836,0.9861609283154134,0.60182808693881,0.5252726796087639,0.05084909576266521,0.2063549148970373,0.18041240759032293,0.038695359815673305,0.026357167838139427,0.15923080421204008,0.08353568622925148,0.016915669074943403,0.007056291072926936,0.004579231232956635,-0.0005168737552846416,0.0043242680324440605,-0.0004893826228717713,0.0018075776479756283,0.002000335376745087,0.3794832376953796,0.20372216879499305,0.6219533778812307,227.01938000735828,227.05815055284873, Wijk 01 Oostduinen,WK051801
