WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKHUISARTS_NO_REG_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD,Total_Population,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_AGE_CAT_71to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,%_Lung_Cancer_patients,%_Colon_Cancer_patients,%_Back_pain_patients,%_JGDHULP_user,%_GEDETINEERDENTAB,%_SHNTAB,%_HBOPL_Low,%_HBOPL_Mid,%_HBOPL_High,%_HGOPL_Low,%_HGOPL_Mid,%_HGOPL_High,cluster,Cluster,Age,Total_Cost,GP_Utilization,Polyfarmacie,Minority,Income,Cluster_Reworked,Cluster_Reworked_Number
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2010.0,48.9004574081399,2.47757847533632,0.0,1.04098897825439,2.59118086696562,5.11612210461727,3259.1220138031827,159.08244806284014,91.46237092915212,1622.0168765936637,522.8914270969749,604.6848499930428,24.4401291421353,1.56059452966346,0.0,0.211642705587663,1.10569373476951,4.14021515621368,10496.729256127795,151.15145562147447,143.99427069960703,5547.927942520746,1796.1562344779345,7890.73424401816,16780,0.5521454112038141,0.1501787842669845,0.2032181168057211,0.2660905840286054,0.2678784266984505,0.118891537544696,0.1051847437425506,0.7118593563766389,0.1427294398092967,0.1457091775923718,0.0166865315852205,0.0435041716328963,0.018176400476758,0.0131108462455303,0.1653754469606674,0.0327771156138259,0.0,0.0,0.0,0.0,0.0,0.0,0.0387365911799761,0.08492252681764,0.0,0.0,0.00238379022646,0.018772348033373,0.0,0.0,0.9380214541120382,0.7774135876042908,0.6620977353992848,0.0703218116805721,0.3411799761620977,0.3474374255065554,0.1066746126340882,0.0637663885578069,0.2958879618593564,0.1588200238379022,0.0184743742550655,0.0297973778307508,0.0116209773539928,0.0140047675804529,0.0360548271752085,0.0044696066746126,0.0077473182359952,0.0050655542312276,0.0131108462455303,0.0095351609058402,0.0068533969010727,0.0,0.00238379022646,0.0154946364719904,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2011.0,48.7112273536251,2.47590361445783,24697.7672235093,1.0389748435101,2.53397590361446,5.26080234984927,3225.008233223505,166.27364861545874,93.1940174307484,1738.588971980848,517.9471739172303,419.30326994915447,24.4810584825372,1.5047999334087,11906.816493951,0.204807945188393,1.24283527750713,4.27051826934111,7955.545833287816,139.31632646317084,132.19370145947929,5134.054682818584,1566.8519283295095,4727.648608558106,16930,0.5502067336089781,0.150915534554046,0.2046662728883638,0.2622563496751329,0.2714116952155936,0.1178381571175428,0.103071470761961,0.7099822799763733,0.1450088600118133,0.1453041937389249,0.018606024808033,0.0428233904311872,0.0171293561724748,0.0132900177200236,0.6958062610750148,0.0286473715298287,0.3242764323685765,0.0103366804489072,0.0345540460720614,0.0106320141760189,0.0398700531600708,0.3233904311872416,0.0372120496160661,0.080330773774365,0.064087418783225,0.496751329001772,0.0035440047253396,0.0209686946249261,0.0,0.0,0.9636739515652688,0.7684583579444773,0.6704075605434141,0.0741287655050206,0.3434731246308328,0.3479031305375074,0.1163614884819846,0.0637920850561134,0.2979917306556409,0.1656822209096279,0.018606024808033,0.0301240401653868,0.0118133490844654,0.0138806851742468,0.0363260484347312,0.0044300059066745,0.0076786769049025,0.0047253396337861,0.0129946839929119,0.0094506792675723,0.0067926757235676,0.0,0.0032486709982279,0.0091553455404607,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2012.0,48.6397639576692,2.56230187759083,24627.7734061931,1.03821992602595,2.5788831992197,5.22252280105117,3181.2089091700527,154.43693753768142,87.88452548871203,1862.199046721524,460.118366719987,328.4088927645985,24.5659511032705,1.63090068414071,11387.9959714364,0.204476503419699,1.30941536805948,4.29652223732648,8828.72904259563,131.60765383548448,125.2807359025685,7026.941581853427,1513.9410808326238,3456.1913979653223,17030,0.5499119201409278,0.1520845566647093,0.2025836758661186,0.2618907809747504,0.2721667645331767,0.1189078097475044,0.1024662360540223,0.7028772753963594,0.1459189665296535,0.1514973576042278,0.0202583675866118,0.0428655314151497,0.0173223722842043,0.015267175572519,0.693775689958896,0.0275983558426306,0.3188490898414562,0.0132119788608338,0.0337639459776864,0.01174398120963,0.0393423370522607,0.323840281855549,0.0361127422196124,0.0807398708162066,0.0681150910158543,0.4950088079859072,0.0038167938931297,0.0217263652378156,0.0,0.0,0.9638872577803876,0.7633587786259542,0.6535525543159131,0.0575455079271873,0.3455666470933646,0.3394010569583088,0.1162654139753376,0.0654726952436876,0.2994715208455666,0.1714621256605989,0.0184967704051673,0.0302407516147974,0.01174398120963,0.014092777451556,0.0369935408103347,0.004697592483852,0.0079271873165002,0.0052847915443335,0.012918379330593,0.009395184967704,0.0067527891955372,0.0,0.0029359953024075,0.0120375807398708,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2013.0,48.7883741462045,2.46985087529717,24642.4132000238,1.03731257208766,2.56299978387724,5.23109567901235,3379.7871746790365,158.1074488469983,91.78617205895848,1881.5729969143952,432.64577000353,456.64351871853336,24.5803937301508,1.38787163589209,13642.9236642069,0.205026343942805,1.12496198360129,4.327378339189,9999.121457748486,132.2159934870319,125.82874625729112,6601.329189374485,1490.40388988045,5919.882926090462,17340,0.5461361014994233,0.1499423298731257,0.2032871972318339,0.2600922722029988,0.2768166089965398,0.1190888119953863,0.1017877739331026,0.6992502883506344,0.1487889273356401,0.1519607843137254,0.0210495963091118,0.0426758938869665,0.0173010380622837,0.0149942329873125,0.6897347174163783,0.0317185697808535,0.3062283737024221,0.0178777393310265,0.038638985005767,0.0132641291810842,0.0409457900807381,0.3238177623990773,0.0348904267589388,0.0916955017301038,0.0801614763552479,0.5034602076124568,0.0040369088811995,0.0236447520184544,0.0,0.0,0.9610726643598616,0.7494232987312572,0.6386966551326413,0.0544982698961937,0.3451557093425605,0.3347750865051903,0.1136101499423298,0.0666089965397923,0.2984429065743945,0.1741637831603229,0.0190311418685121,0.0320069204152249,0.0118223760092272,0.0141291810841983,0.0377739331026528,0.0040369088811995,0.008073817762399,0.0057670126874279,0.0132641291810842,0.0100922722029988,0.0066320645905421,0.0,0.0034602076124567,0.0,0.2430795847750865,0.1539792387543252,0.0971741637831603,0.1923298731257209,0.1534025374855824,0.1467704728950403,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2014.0,48.9404442702324,3.06773823191734,25180.9584448011,1.03367622550428,2.51481056257176,5.19862068965517,3299.844384179858,167.35510742263722,99.25882380656644,1867.6587428532632,419.6700056288777,371.0354570058105,24.7486894551466,5.44174091153501,12709.45740927,0.194502863474252,1.15076163777367,4.321343706732,9299.263840788595,158.35238722125334,152.54232564770228,6956.180310776238,2259.3625073181865,3701.158700812168,17400,0.5433908045977012,0.1494252873563218,0.203735632183908,0.2545977011494253,0.2807471264367816,0.1201149425287356,0.103735632183908,0.6959770114942528,0.1454022988505747,0.1586206896551724,0.021551724137931,0.0436781609195402,0.0183908045977011,0.0160919540229885,0.6928160919540229,0.0382183908045977,0.3022988505747126,0.0155172413793103,0.0399425287356321,0.014367816091954,0.0413793103448275,0.3264367816091954,0.0313218390804597,0.0804597701149425,0.078735632183908,0.4873563218390804,0.003735632183908,0.025287356321839,0.0,0.0,0.957471264367816,0.753448275862069,0.6525862068965518,0.0652298850574712,0.3431034482758621,0.3318965517241379,0.1140804597701149,0.0663793103448275,0.2890804597701149,0.1761494252873563,0.0186781609195402,0.0313218390804597,0.0117816091954022,0.0137931034482758,0.0373563218390804,0.0040229885057471,0.0083333333333333,0.0060344827586206,0.0120689655172413,0.0094827586206896,0.0066091954022988,0.0,0.0034482758620689,0.0135057471264367,0.2468390804597701,0.1551724137931034,0.1043103448275862,0.1956896551724138,0.1566091954022988,0.1528735632183908,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2015.0,48.7062327157583,3.12280306444344,25431.4199811165,1.03083499572528,2.52456061288869,5.2654064853235,3513.5159128218816,164.22429068144973,94.77493166886951,1730.4869437568702,439.490669018029,446.566367238962,24.8390611775301,4.8400625169391,12058.5958076652,0.184363416430335,1.07408916953169,4.36654606138987,9742.193071348138,143.3416181545684,137.0828318127444,5506.262095566479,3175.2900696007914,4972.326166097506,17540,0.5407639680729761,0.153648802736602,0.2038198403648802,0.2514253135689852,0.2830672748004561,0.1248574686431014,0.1006271379703534,0.6881413911060433,0.1459521094640821,0.1661915621436716,0.0222348916761687,0.0436145952109464,0.0193842645381984,0.016533637400228,0.6901368301026226,0.0350627137970353,0.3018814139110604,0.0133979475484606,0.0424743443557582,0.0151083238312428,0.0416191562143671,0.3235461801596351,0.0290763968072976,0.0783922462941847,0.0781071835803876,0.4817559863169897,0.0037058152793614,0.024230330672748,0.1177309007981756,0.0513112884834663,0.9538198403648804,0.74230330672748,0.6490877993158495,0.0561573546180159,0.3426453819840365,0.3312428734321551,0.1205815279361459,0.0661345496009122,0.2850627137970353,0.1790193842645382,0.0188141391106043,0.0305017103762827,0.0125427594070695,0.0139680729760547,0.0353477765108323,0.0039908779931584,0.0076966932725199,0.0062713797035347,0.0108323831242873,0.0091220068415051,0.0065564424173318,0.0213797035347776,0.0028506271379703,0.0119726339794754,0.2517103762827822,0.1633409350057012,0.105473204104903,0.2035347776510832,0.1593500570125427,0.1564994298745724,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2016.0,48.7768088634269,3.68424369747899,26225.8469506518,1.02748735244519,2.57142857142857,5.26426630434783,3716.465420650207,172.5039809441612,101.60134746728028,1831.468621996084,461.7393849906865,526.3848466458813,24.9352918413737,22.18330110997,12931.5479994049,0.181120038072154,1.16542202964822,4.3432914760714,11069.717409979914,147.8532424696233,141.37853513829836,6044.467423732518,3159.366040643344,6056.99609352994,17790,0.5430016863406408,0.1534569983136593,0.200955593029792,0.2481731309724564,0.289769533445756,0.1267566048341765,0.0978077571669477,0.6852164137155705,0.1447442383361439,0.1700393479482855,0.0230466554243957,0.0449690837549184,0.0191118605958403,0.0163012928611579,0.6902754356379989,0.0306351883080382,0.2993254637436762,0.0123664980326025,0.0415964024732996,0.0163012928611579,0.0390668915120854,0.3260258572231591,0.0252951096121416,0.0896571107363687,0.0767284991568296,0.4679595278246206,0.0025295109612141,0.0216413715570545,0.1245081506464305,0.0469364811691961,0.9567172568858908,0.7448004496908376,0.664699269252389,0.0550871275997751,0.3442945474985947,0.3324901630129286,0.1157953906689151,0.0660483417650365,0.2852726250702642,0.1818437324339516,0.0188308038223721,0.0289488476672287,0.0123664980326025,0.0134907251264755,0.0334457560427206,0.0039347948285553,0.0075885328836424,0.0064643057897695,0.0101180438448566,0.0095559302979201,0.007026419336706,0.0250140528386734,0.0028105677346824,0.0103991006183249,0.2571669477234401,0.1675098369870714,0.1096121416526138,0.2065767284991568,0.1646992692523889,0.1610455311973018,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2017.0,48.7709445236683,3.48560641812176,26824.6767536232,1.0243202161797,2.5217083529967,5.2910684600272,3618.8316328296287,178.1896460411877,106.79384627953732,1788.454301602439,430.011811815335,412.97119370533113,24.961179035165,12.9556224267444,13090.0154614502,0.164986899776187,0.978829821558102,4.36847389165452,9544.09267395096,161.8217392658477,156.110715379523,6032.083623846012,1549.7803372714084,4399.661641885092,17760,0.5419481981981982,0.1585022522522522,0.1990427927927928,0.2423986486486486,0.2975788288288288,0.138795045045045,0.0948761261261261,0.6779279279279279,0.1486486486486486,0.1734234234234234,0.0233671171171171,0.0442004504504504,0.0191441441441441,0.0166103603603603,0.6928490990990991,0.0261824324324324,0.3006756756756756,0.0112612612612612,0.0425112612612612,0.0152027027027027,0.0388513513513513,0.3254504504504504,0.022804054054054,0.0765765765765765,0.0788288288288288,0.4594594594594595,0.0019707207207207,0.0202702702702702,0.1196509009009009,0.0447635135135135,0.9574887387387389,0.7463400900900901,0.6697635135135135,0.0526463963963963,0.3443130630630631,0.3369932432432432,0.1188063063063063,0.0644707207207207,0.2849099099099099,0.1855292792792792,0.0188626126126126,0.0281531531531531,0.0121058558558558,0.0132319819819819,0.03125,0.0036599099099099,0.0070382882882882,0.0061936936936936,0.0087274774774774,0.0087274774774774,0.0064752252252252,0.0247747747747747,0.0022522522522522,0.0112612612612612,0.2629504504504504,0.1720157657657657,0.1128941441441441,0.2114301801801801,0.1708896396396396,0.1649774774774774,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2018.0,48.5652746655253,3.12636320531057,26897.1325175434,1.0198236648509,2.53579895685159,5.33861071130975,3873.3568619712296,188.2023871039297,117.5542744035728,1951.0772326647264,433.7381356410287,481.3883062562211,25.0239189975513,6.33563736219888,12912.7750443066,0.1506290390224,1.15412821711878,4.442873167087,11095.867622544987,172.55386180522265,164.37134853501968,6916.575924511943,2089.4867903001077,5262.442444439558,17810,0.5393037619314992,0.1631106120157215,0.1979225154407636,0.2394722066254913,0.2973048848961258,0.1420550252667041,0.0934868051656372,0.6670409882088714,0.152442448062886,0.1805165637282425,0.0241437394722066,0.0449185850645704,0.0210555867490174,0.0182481751824817,0.6973610331274565,0.0218978102189781,0.3012352610892757,0.008983717012914,0.0421111734980348,0.0143177989893318,0.0395845030881527,0.319764177428411,0.0182481751824817,0.0763615946097698,0.0889949466591802,0.4503088152723189,0.0022459292532285,0.0182481751824817,0.1170690623245367,0.0426726558113419,0.9564851207186974,0.742841100505334,0.6678832116788321,0.0550252667040988,0.3402582818641212,0.3363279056709713,0.1209994385176866,0.0640089837170129,0.2798989331836047,0.1850084222346996,0.019371139809096,0.0266704098820887,0.0117911285794497,0.0126333520494104,0.0286355979786636,0.0033688938798427,0.0061763054463784,0.0061763054463784,0.0075800112296462,0.0081414935429533,0.006457046603032,0.0235822571588994,0.0,0.0137563166760247,0.2681078046041549,0.1740595171252105,0.1195957327344188,0.2161706906232453,0.1726558113419427,0.1720943290286355,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2019.0,48.4917065070576,2.93562874251497,28424.2981698895,1.01526295415584,2.5189620758483,5.19647201946472,3652.995321468118,197.15621313989087,124.67353403205593,1828.7736002827503,413.3874663844933,430.3285181745246,24.9678918502036,4.14569309094206,13945.5236985628,0.132986470020635,1.00144129752183,4.2906557465892,11460.03567234575,202.46155714802435,195.26963499337523,8670.408434529125,1698.1995405458713,4410.128226894906,18080,0.5384402654867256,0.1642699115044247,0.2035398230088495,0.2378318584070796,0.2934181415929203,0.1435287610619469,0.0951327433628318,0.6565265486725663,0.1559734513274336,0.1877765486725663,0.0240597345132743,0.0459070796460177,0.0224004424778761,0.0190818584070796,0.6891592920353983,0.0082964601769911,0.305862831858407,0.0069137168141592,0.0392699115044247,0.0143805309734513,0.0392699115044247,0.3138827433628318,0.0141039823008849,0.0702433628318584,0.0810287610619469,0.4344579646017699,0.0011061946902654,0.0163163716814159,0.1172566371681416,0.0420353982300885,0.9477323008849556,0.7292588495575221,0.6568030973451328,0.0525442477876106,0.331858407079646,0.322179203539823,0.1122787610619469,0.0616703539823008,0.2729535398230088,0.180862831858407,0.0188053097345132,0.0248893805309734,0.0113384955752212,0.012721238938053,0.0257190265486725,0.00304203539823,0.0055309734513274,0.0060840707964601,0.0063606194690265,0.0080199115044247,0.0060840707964601,0.0254424778761061,0.0,0.0160398230088495,0.2665929203539823,0.1822455752212389,0.1263827433628318,0.2132190265486725,0.1780973451327433,0.1825221238938053,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2020.0,48.5165879494125,2.94381740657136,29190.0762774764,1.01076099553005,2.52972159518435,5.07018095987411,3492.59678232019,193.199361187651,122.261704436822,1630.50536186245,392.583122645223,523.261685879773,25.0228245327606,3.41631423982283,14126.034111219,0.112884517234768,1.03346270169171,4.15824557499947,11937.2771888327,195.974408119011,189.068909564263,8296.29491693722,1311.3209073516,5757.73478785373,18120,0.5353200883002207,0.1630794701986755,0.2044701986754966,0.2339955849889624,0.2947019867549669,0.1456953642384106,0.0963024282560706,0.6456953642384106,0.1583885209713024,0.1961920529801324,0.0259381898454746,0.0466335540838852,0.0231788079470198,0.0195916114790286,0.684878587196468,0.0077262693156732,0.3068432671081678,0.0063465783664459,0.0386313465783664,0.0165562913907284,0.0386313465783664,0.3142935982339956,0.009933774834437,0.0695364238410596,0.0728476821192053,0.4039735099337748,0.0011037527593818,0.015728476821192,0.1142384105960264,0.0422185430463576,0.946467991169978,0.7036423841059603,0.6062362030905077,0.0513245033112582,0.3305739514348786,0.3032560706401766,0.1018211920529801,0.0612582781456953,0.2704194260485651,0.1777041942604856,0.0184878587196468,0.0237306843267108,0.0107615894039735,0.0115894039735099,0.0226269315673289,0.0033112582781456,0.005242825607064,0.0060706401766004,0.0055187637969094,0.0077262693156732,0.0060706401766004,0.026766004415011,0.0,0.0143487858719646,0.2684878587196468,0.1834988962472406,0.1313465783664459,0.2152317880794702,0.1793598233995585,0.1868101545253863,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2010.0,44.6580228309319,2.41496259351621,0.0,1.0382156849268,2.70149625935162,4.57500964134208,2619.4532899500136,134.98199585948484,72.33486096259921,1458.3722017765183,400.1247356513588,348.3403363713708,24.6755276974255,1.41293442798215,0.0,0.207229800488217,1.34475051931679,3.77989345010807,7112.475429109773,124.33574363211876,116.28550450844244,5019.507133359508,1220.269722001454,3905.233570767097,14550,0.5350515463917526,0.1625429553264605,0.2841924398625429,0.2415807560137457,0.2072164948453608,0.093127147766323,0.0941580756013745,0.5487972508591066,0.1759450171821306,0.2752577319587629,0.0326460481099656,0.0529209621993127,0.0199312714776632,0.0278350515463917,0.1872852233676976,0.0209621993127147,0.0,0.0,0.0,0.0,0.0,0.0,0.0353951890034364,0.1068728522336769,0.0,0.0,0.0037800687285223,0.0281786941580756,0.0,0.0,0.8896907216494845,0.7116838487972509,0.6020618556701031,0.0676975945017182,0.2625429553264605,0.2790378006872852,0.0725085910652921,0.0457044673539518,0.2285223367697594,0.1058419243986254,0.0175257731958762,0.0240549828178694,0.0096219931271477,0.0144329896907216,0.0278350515463917,0.0037800687285223,0.0085910652920962,0.00446735395189,0.0096219931271477,0.0096219931271477,0.00446735395189,0.0,0.0041237113402061,0.0137457044673539,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2011.0,44.5651092076611,2.49280753968254,25593.1904972376,1.03778948828179,2.62822420634921,4.66015663725587,2652.7933097700507,149.07873191387276,79.69922285058162,1425.9520350520684,404.211499981112,382.4944941383855,24.7084697221979,1.47330428187241,33468.3600547559,0.205061250409619,1.21224506641448,3.84339243026823,6777.584470396972,119.53577194668712,111.10673544516608,4594.956465658172,1318.9845904635422,3968.0407259821473,14420,0.5346740638002774,0.1636615811373093,0.2798196948682385,0.2444521497919556,0.2083911234396671,0.0911927877947295,0.0929264909847434,0.544382801664355,0.177877947295423,0.2780859916782247,0.0325936199722607,0.0527045769764216,0.0208044382801664,0.0277392510402219,0.6314147018030514,0.0194174757281553,0.3217753120665742,0.0124826629680998,0.0537447988904299,0.0117891816920943,0.0298196948682385,0.2621359223300971,0.0353675450762829,0.1002080443828016,0.0998613037447988,0.4642857142857143,0.0052011095700416,0.0315533980582524,0.0,0.0,0.9292649098474342,0.7018030513176144,0.6168515950069348,0.0742024965325936,0.2628294036061026,0.2763522884882108,0.0794036061026352,0.0464632454923717,0.2291955617198335,0.1123439667128987,0.0180305131761442,0.0242718446601941,0.0100554785020804,0.015256588072122,0.0280859916782246,0.0038141470180305,0.0086685159500693,0.004507628294036,0.0097087378640776,0.0093619972260748,0.004507628294036,0.0,0.0038141470180305,0.0128294036061026,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2012.0,44.0022664436479,2.51066822977726,25387.5011013216,1.03725205611998,2.66377491207503,4.58557663653521,2611.78080645471,142.0282920510543,78.90026192507848,1519.295680055782,340.45511696409073,328.5239608877888,24.6137209376678,1.46197620914414,26212.570545118,0.202780155302551,1.46694770154891,3.85899165369823,7063.845190496028,118.7939860306796,111.3332583919098,5328.079807782703,1231.1720075864278,3298.256468622364,14470,0.5297166551485832,0.1651693158258465,0.2871458189357291,0.2401520387007601,0.2055977885279889,0.0863856254319281,0.0891499654457498,0.5383552176917761,0.1793365583966828,0.2823082239115411,0.0328265376641326,0.05286800276434,0.0210780926053904,0.0304077401520387,0.633379405666897,0.0200414651002073,0.3203178991015895,0.0141672425708362,0.0539046302695231,0.013130615065653,0.0290255701451278,0.2550103662750518,0.0348997926744989,0.1064270905321354,0.1181755355908776,0.4706288873531444,0.0051831375259156,0.0328265376641326,0.0,0.0,0.9405666897028334,0.698341395991707,0.6150656530753282,0.0621976503109882,0.2563925362819627,0.2653766413268832,0.078092605390463,0.0473393227366966,0.2242570836212854,0.1112646855563234,0.0183137525915687,0.0245335176226675,0.0093296475466482,0.0152038700760193,0.0283344851416724,0.0038009675190048,0.0086385625431928,0.0048375950241879,0.0096751900483759,0.0093296475466482,0.0041465100207325,0.0,0.0044920525224602,0.0117484450587422,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2013.0,43.4659499750157,2.52668539325843,25818.3830754565,1.03628922237381,2.64794007490637,4.48552924509209,2702.505435667799,143.3192102310009,80.7499420761376,1542.8034059287843,306.5712383136597,339.5618043979316,24.5350616136829,1.57516414691105,44042.681795817,0.203102703944639,1.19474595839226,3.87083258126515,8159.326002305213,124.77908681092616,117.83446131559832,5688.46084202467,1014.7594450937396,4293.10590838404,14660,0.526944065484311,0.169849931787176,0.2946793997271487,0.2366984993178717,0.2025920873124147,0.0818553888130968,0.0845839017735334,0.5228512960436562,0.1814461118690313,0.2957025920873124,0.0324010914051841,0.0518417462482946,0.0208049113233287,0.031718963165075,0.6326739427012278,0.0242155525238744,0.3090040927694406,0.0156889495225102,0.0572987721691678,0.0133015006821282,0.0289904502046384,0.2459072305593451,0.0334242837653478,0.1098226466575716,0.1278990450204638,0.4768076398362892,0.0047748976807639,0.034106412005457,0.0,0.0,0.9304229195088676,0.67462482946794,0.5644611186903138,0.0549113233287858,0.2455661664392905,0.2479536152796725,0.0719645293315143,0.0494542974079126,0.2131650750341064,0.1091405184174624,0.0184174624829467,0.0242155525238744,0.0095497953615279,0.0153478854024556,0.0279672578444747,0.0037517053206002,0.0085266030013642,0.0051159618008185,0.0092087312414733,0.0092087312414733,0.0040927694406548,0.0,0.0044338335607094,0.0,0.2687585266030013,0.1718963165075034,0.1340381991814461,0.2179399727148704,0.1572305593451569,0.1971350613915416,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2014.0,43.2966368253968,2.53385899814471,27096.6734484778,1.0386717959101,2.68135435992579,4.53558736927607,2805.6209820994727,152.89320385815287,88.43565731638225,1596.620853216653,304.7422722019911,375.9636541783145,24.5254107970066,1.62709149071388,36302.8380498315,0.21342007347826,1.54362682778894,3.8840549797355,8543.471486721039,137.22548142877775,130.61099850035106,6602.733794616656,1012.714848888452,3420.906874801136,14820,0.5246288798920378,0.1717273954116059,0.296221322537112,0.2378542510121457,0.2000674763832658,0.0816464237516869,0.0826585695006747,0.5107962213225371,0.1818488529014844,0.3070175438596491,0.032051282051282,0.0506072874493927,0.020242914979757,0.0307017543859649,0.6366396761133604,0.0408232118758434,0.3043184885290148,0.0158569500674763,0.0600539811066126,0.0148448043184885,0.029689608636977,0.238191632928475,0.0347503373819163,0.1066126855600539,0.1204453441295546,0.4574898785425101,0.0040485829959514,0.0334008097165991,0.0,0.0,0.9213900134952766,0.6697031039136302,0.578272604588394,0.0684885290148448,0.2412280701754386,0.2516869095816464,0.0755735492577597,0.0482456140350877,0.203778677462888,0.1086369770580296,0.0182186234817813,0.0236167341430499,0.0091093117408906,0.0145074224021592,0.0263157894736842,0.0033738191632928,0.0080971659919028,0.0050607287449392,0.0084345479082321,0.0087719298245614,0.0040485829959514,0.0,0.0057354925775978,0.0128205128205128,0.2712550607287449,0.1717273954116059,0.1379892037786774,0.2260458839406207,0.1562078272604588,0.1973684210526315,1,1,Older,Higher Cost,Higher Burden,Higher Use,Lower Minority,Higher Income,2,2
