wijkcode,wijknaam,gemnr,gemnaam,Totale bevolking,Bevolking 19 jaar en ouder,Bevolking 65 jaar en ouder,% eenzaam*,% ernstig eenzaam*,% sociaal eenzaam*,% emotioneel eenzaam*,% 75 jaar en ouder,% eenpersoons huishoudens,% verweduwd,% niet-westers allochtonen,% met beperking*,% met langdurige aandoening*,% met voldoende regie over het eigen leven*,% met goede ervaren gezondheid*
WK000300,Wijk 00,3,Appingedam,12000,9639,1310,46,10,47,31,,36,7,6,20,45,88,69
WK000500,Wijk 00,5,Bedum,10430,8175,787,38,8,42,26,,28,5,3,14,37,91,78
WK000700,Wijk 00 Bellingwolde,7,Bellingwedde,4090,3321,372,47,9,48,29,,30,7,5,19,42,89,72
WK000701,Wijk 01 Oost,7,Bellingwedde,960,821,73,45,7,47,27,,29,4,1,18,41,89,73
WK000702,Wijk 02 Blijham,7,Bellingwedde,3920,3239,468,47,8,49,29,,28,9,2,21,41,89,71
WK000900,Wijk 00 West,9,Ten Boer,5995,4489,534,38,7,39,25,,26,7,3,15,37,91,78
WK000901,Wijk 01 Oost,9,Ten Boer,1355,1034,55,42,8,43,28,,31,4,2,12,37,92,79
WK001000,Wijk 00 Stad,10,Delfzijl,16935,13957,2098,49,11,50,34,,38,8,13,22,47,87,68
WK001001,Wijk 01 Land,10,Delfzijl,695,559,39,42,6,45,25,,25,5,0,12,39,93,77
WK001002,Wijk 02,10,Delfzijl,3645,2907,265,44,8,48,27,,30,6,1,17,42,90,74
WK001003,Wijk 03,10,Delfzijl,3785,2921,230,43,7,46,26,,27,5,1,14,41,91,77
WK001400,Centrum,14,Groningen,22170,20913,604,45,10,40,39,,82,2,10,7,27,92,82
WK001401,Oud-Zuid,14,Groningen,20410,18455,666,43,9,39,36,,73,2,7,8,28,93,82
WK001402,Oud-West,14,Groningen,14860,13141,377,44,9,40,36,,72,2,8,8,28,93,81
WK001403,Oud-Noord,14,Groningen,18515,16043,420,47,11,43,39,,71,2,15,11,30,90,77
WK001404,Oosterparkwijk,14,Groningen,11650,10199,424,47,11,44,39,,68,3,13,13,32,89,76
WK001405,Zuidoost,14,Groningen,2195,1852,27,41,8,40,31,,53,1,9,8,28,93,83
WK001406,Helpman e.o.,14,Groningen,19105,15725,1770,43,9,42,33,,57,5,10,13,33,91,78
WK001407,Zuidwest,14,Groningen,10990,9164,1365,44,9,43,33,,51,7,8,17,36,89,75
WK001408,Hoogkerk e.o.,14,Groningen,12275,8858,706,41,8,42,27,,27,4,5,14,35,91,78
WK001409,Nieuw-West,14,Groningen,16770,12887,1255,45,9,44,34,,48,5,14,16,35,90,75
WK001410,Noordwest,14,Groningen,17930,14980,1760,50,11,47,40,,62,6,22,18,35,88,72
WK001411,Noordoost,14,Groningen,16570,12503,254,44,10,45,32,,39,2,13,13,35,90,77
WK001412,Noorddijk e.o.,14,Groningen,16440,12604,675,43,9,43,30,,35,3,10,14,37,91,77
WK001413,Meerdorpen,14,Groningen,1060,818,61,40,7,41,25,,27,3,2,11,35,93,80
WK001500,Wijk 00 Grootegast,15,Grootegast,5350,4061,513,43,8,45,27,,28,6,2,16,34,91,77
WK001501,Wijk 01 Lutjegast,15,Grootegast,1140,840,42,39,6,43,24,,23,3,1,10,29,93,82
WK001502,Wijk 02 Opende,15,Grootegast,2840,2145,173,42,7,44,25,,24,4,1,13,32,92,79
WK001503,Wijk 03 Oldekerk,15,Grootegast,2825,2166,195,41,7,43,25,,26,4,1,12,32,92,81
WK001700,Wijk 00 Centrum,17,Haren,17235,13666,2395,40,8,41,28,,37,7,4,14,37,91,78
WK001701,Wijk 01 Land,17,Haren,1840,1557,162,41,7,42,27,,24,4,8,12,34,92,81
WK001801,Wijk 01 Foxham en Hoogezand-Noord,18,Hoogezand-Sappemeer,6690,5570,845,49,10,49,34,,47,9,8,21,41,87,70
WK001802,Wijk 02 Hoogezand-Zuid,18,Hoogezand-Sappemeer,11920,9267,1213,52,11,51,35,,38,7,23,24,42,86,68
WK001803,Wijk 03 Kalkwijk,18,Hoogezand-Sappemeer,3045,2378,367,42,7,44,26,,26,8,5,16,38,92,78
WK001805,Wijk 05 Kiel-Windeweer,18,Hoogezand-Sappemeer,880,704,36,41,7,43,24,,22,3,2,13,35,92,79
WK001806,Wijk 06 Kropswolde,18,Hoogezand-Sappemeer,1635,1325,98,40,6,43,24,,21,5,3,10,35,94,81
WK001807,Wijk 07 Foxhol,18,Hoogezand-Sappemeer,980,767,54,47,10,48,32,,40,4,6,17,40,88,73
WK001808,Wijk 08 Westerbroek,18,Hoogezand-Sappemeer,835,684,40,43,7,44,27,,30,5,2,12,36,91,78
WK001809,Wijk 09 Waterhuizen,18,Hoogezand-Sappemeer,25,,26,40,5,41,24,,29,,,13,36,93,78
WK001811,Wijk 11 Sappemeer,18,Hoogezand-Sappemeer,8160,6565,601,46,9,48,30,,32,5,5,19,40,88,73
WK002200,Wijk 00 Leek,22,Leek,10705,8322,1220,44,8,45,28,,32,7,4,16,37,90,77
WK002201,Wijk 01 Zevenhuizen,22,Leek,2795,2169,205,42,7,44,25,,24,5,1,11,32,93,81
WK002202,Wijk 02 Tolbert,22,Leek,4495,3537,278,43,8,45,28,,29,4,3,14,37,91,78
WK002204,Wijk 04 Midwolde,22,Leek,400,312,24,41,6,43,25,,25,7,1,10,32,94,82
WK002205,Wijk 05 Lettelbert,22,Leek,165,139,14,43,7,45,24,,24,5,2,11,32,93,80
WK002206,Wijk 06 Oostwold,22,Leek,650,512,30,42,7,44,26,,30,3,1,13,34,92,79
WK002207,Wijk 07 Enumatil,22,Leek,315,,234,38,6,40,23,,25,1,1,10,32,94,83
WK002400,Wijk 00,24,Loppersum,3595,2847,351,42,8,44,28,,32,7,2,18,42,90,73
WK002401,Wijk 01 Stedum,24,Loppersum,1660,1289,84,40,7,42,25,,28,3,2,12,38,91,77
WK002402,Wijk 02 Middelstum,24,Loppersum,2660,2033,222,42,8,45,29,,34,6,3,16,38,90,76
WK002403,Wijk 03 't Zandt,24,Loppersum,2125,1642,106,44,8,45,27,,30,4,1,15,41,90,74
WK002500,Wijk 00 Marum,25,Marum,7980,6206,608,43,7,45,26,,26,5,2,14,34,91,79
WK002501,Wijk 01 De Wilp,25,Marum,2320,1847,127,42,7,46,25,,27,4,1,12,33,92,80
WK003401,Wijk 01 Almere Haven,34,Almere,22135,17554,1270,49,13,47,38,,37,4,19,19,39,88,69
WK003402,Wijk 02 Almere Stad,34,Almere,107995,81712,4051,49,12,48,38,,31,3,31,16,35,89,72
WK003403,Wijk 03 Almere Buiten,34,Almere,55895,41033,1678,48,13,47,37,,29,2,30,15,35,89,72
WK003404,Wijk 04 Almere Poort,34,Almere,10380,8064,100,49,12,47,39,,34,1,42,10,27,91,79
WK003405,Wijk 05 Almere Hout,34,Almere,1735,1583,61,37,7,39,26,,17,2,7,8,29,94,83
WK003406,Wijk 06 Almere Pampus,34,Almere,0,,,,,,,,,,,,,,
WK003701,Stadskanaal,37,Stadskanaal,19410,15679,2272,47,9,48,31,,36,8,3,21,43,87,70
WK003702,Musselkanaal,37,Stadskanaal,7590,5861,788,46,9,48,31,,32,8,8,22,42,87,71
WK003703,Onstwedde,37,Stadskanaal,2875,2255,322,44,7,46,27,,29,7,1,19,39,90,74
WK003704,Mussel,37,Stadskanaal,1550,1165,88,41,6,44,25,,22,4,2,13,35,92,78
WK003705,Alteveer,37,Stadskanaal,1185,919,78,45,7,47,27,,23,6,1,17,38,90,75
WK004000,Wijk 00 Slochteren-Kolham,40,Slochteren,4485,3507,314,44,8,45,28,,29,6,2,15,39,91,75
WK004001,Wijk 01 Schildwolde-Hellum,40,Slochteren,2250,1684,102,41,7,43,26,,27,4,2,13,37,92,77
WK004002,Wijk 02 Siddeburen,40,Slochteren,3765,2989,407,44,8,46,29,,29,7,1,18,41,90,72
WK004003,Wijk 03 Harkstede,40,Slochteren,4635,3528,229,39,6,41,25,,20,3,3,11,34,93,80
WK004004,Wijk 04 Overschild,40,Slochteren,565,472,26,43,8,45,28,,30,4,1,13,36,91,77
WK004700,Wijk 00 Veendam-kern,47,Veendam,19825,15834,2103,47,10,48,31,,35,8,9,22,42,87,71
WK004701,Wijk 01 Veendam-buitengebied,47,Veendam,2070,1634,110,43,7,46,26,,24,5,1,14,37,91,77
WK004702,Wijk 02 Wildervank,47,Veendam,5565,4350,271,43,8,46,27,,25,4,3,16,39,90,76
WK004800,Wijk 00 Sellingen,48,Vlagtwedde,1845,1540,223,44,7,46,26,,30,7,1,18,41,90,73
WK004801,Wijk 01 Vlagtwedde,48,Vlagtwedde,2625,2166,365,45,8,46,29,,34,9,2,21,41,89,71
WK004802,Wijk 02 Bourtange,48,Vlagtwedde,1115,921,98,46,8,47,28,,32,6,1,18,41,90,73
WK004803,Wijk 03 Sellingerbeetse,48,Vlagtwedde,710,572,50,43,6,45,25,,25,5,1,14,35,91,76
WK004804,Wijk 04 Ter Apel,48,Vlagtwedde,9585,7313,954,46,9,47,30,,41,8,10,20,40,88,72
WK004805,Wijk 05 Ter Wisch,48,Vlagtwedde,305,252,24,41,6,44,24,,24,6,0,12,34,92,79
WK004806,Wijk 06 de Maten,48,Vlagtwedde,230,174,21,41,7,43,25,,24,7,0,14,34,92,78
WK005000,Wijk 00,50,Zeewolde,22110,16698,995,42,9,42,32,,30,3,5,11,32,91,78
WK005300,Wijk 00,53,Winsum,7540,5647,631,40,8,42,26,,28,6,3,14,37,91,78
WK005301,Wijk 01,53,Winsum,1560,1236,96,42,8,44,27,,35,4,1,13,37,91,76
WK005302,Wijk 02,53,Winsum,2645,2093,213,42,8,44,26,,34,6,1,15,40,91,77
WK005303,Wijk 03,53,Winsum,1885,1462,129,40,7,44,25,,27,4,3,13,34,92,80
WK005600,Wijk 00,56,Zuidhorn,9810,7247,775,39,7,41,25,,25,5,2,14,35,92,80
WK005601,Wijk 01,56,Zuidhorn,3930,2999,298,42,7,43,27,,32,6,2,14,34,91,79
WK005602,Wijk 02,56,Zuidhorn,2150,1556,121,38,7,41,24,,28,4,2,11,32,92,81
WK005603,Wijk 03,56,Zuidhorn,2900,2264,157,40,7,42,25,,28,4,2,12,34,92,80
WK005800,Dokkum,58,Dongeradeel,12515,9741,1380,43,8,44,29,,35,6,3,15,36,89,76
WK005801,Metslawier,58,Dongeradeel,1690,1299,183,40,7,42,25,,25,6,1,15,33,91,78
WK005802,Ee - Zuidoost,58,Dongeradeel,1390,1091,89,41,8,43,27,,33,5,1,11,32,91,80
WK005803,Anjum - Noordoost,58,Dongeradeel,1725,1280,114,41,8,42,26,,34,5,2,12,32,92,80
WK005804,Oosternijkerk - Noordwest,58,Dongeradeel,1190,882,64,38,7,41,24,,29,3,1,9,30,92,82
WK005805,Ternaard,58,Dongeradeel,2355,1827,188,41,8,44,27,,32,5,1,13,34,91,78
WK005806,Holwerd,58,Dongeradeel,2305,1762,170,40,8,43,27,,32,5,2,12,33,91,79
WK005807,Hantum,58,Dongeradeel,750,563,34,37,6,40,24,,26,4,0,10,30,93,82
WK005900,Wijk 00 Noord,59,Achtkarspelen,12055,9094,866,41,8,43,27,,29,5,2,13,34,90,78
WK005901,Wijk 01 Centrum,59,Achtkarspelen,3295,2430,176,40,7,42,26,,28,5,1,12,32,91,80
WK005902,Wijk 02 Zuid,59,Achtkarspelen,12650,9817,1036,42,8,43,27,,30,6,2,15,34,90,77
WK006000,Wijk 00,60,Ameland,3610,2879,302,42,7,42,26,,36,6,2,13,32,92,81
WK006300,Wijk 00 West,63,het Bildt,7065,5528,669,45,9,45,29,,33,6,6,14,35,90,77
WK006301,Wijk 01 Oost,63,het Bildt,1660,1281,84,41,8,43,26,,33,4,1,10,31,92,80
WK006302,Wijk 02 Zuid,63,het Bildt,1795,1358,126,43,8,44,27,,33,5,1,11,34,91,78
WK007000,Wijk 00 Franeker,70,Franekeradeel,9445,7682,1078,46,9,45,30,,39,7,4,16,37,89,75
WK007001,Wijk 01 Noord,70,Franekeradeel,2335,1840,155,43,8,44,27,,33,5,2,12,33,91,79
WK007002,Wijk 02 Noordoost,70,Franekeradeel,995,782,50,42,7,44,26,,30,4,1,10,32,91,80
WK007003,Wijk 03 Zuid,70,Franekeradeel,2000,1520,150,42,8,43,26,,32,5,1,13,33,91,79
WK007004,Wijk 04 West,70,Franekeradeel,2105,1655,144,44,8,45,28,,35,5,2,12,34,90,78
WK007005,Wijk 05 Franeker Zuidoost,70,Franekeradeel,3375,2435,105,41,8,43,26,,18,2,3,10,34,91,80
WK007200,Wijk 00 Harlingen,72,Harlingen,14685,11544,1376,46,9,45,30,,39,6,4,15,37,89,75
WK007201,Wijk 01 Midlum,72,Harlingen,645,505,40,45,8,45,28,,34,4,2,10,34,91,79
WK007202,Wijk 02 Wijnaldum,72,Harlingen,480,386,27,44,8,45,26,,33,5,0,11,34,92,79
WK007401,Wijk 01 Heerenveen,74,Heerenveen,29095,22908,2992,45,10,45,31,,39,6,8,14,36,90,76
WK007402,Wijk 02 Noord-Heerenveen,74,Heerenveen,1805,1368,72,38,6,41,23,,20,3,2,9,29,93,83
WK007403,Wijk 03 Hoornsterzwaag,74,Heerenveen,1890,1485,125,38,6,40,23,,21,5,1,9,31,93,82
WK007404,Wijk 04 Jubbega,74,Heerenveen,9265,7324,729,40,7,42,26,,27,6,2,12,33,91,79
WK007406,Wijk 06 Oranjewoud,74,Heerenveen,1580,1220,164,37,6,40,23,,25,6,2,10,32,93,82
WK007407,Skarsterlân,74,Heerenveen,600,465,29,39,7,42,24,,23,3,1,9,30,92,82
WK007409,Boarnsterhim,74,Heerenveen,6045,4488,534,40,7,41,26,,30,6,2,12,33,91,79
WK007900,Wijk 00 Kollum,79,Kollumerland en Nieuwkruisland,5515,4387,616,43,8,43,28,,32,7,3,13,35,89,77
WK007901,Wijk 01 Oost,79,Kollumerland en Nieuwkruisland,1850,1402,91,41,7,43,26,,33,4,1,12,32,91,80
WK007902,Wijk 02 Noordwest,79,Kollumerland en Nieuwkruisland,1760,1323,84,39,7,41,24,,24,5,1,10,30,92,81
WK007903,Wijk 03 Zuidwest,79,Kollumerland en Nieuwkruisland,3680,2814,199,41,8,43,26,,29,5,1,12,33,91,79
WK008010,Wijk 10 Binnenstad,80,Leeuwarden,5145,4844,237,53,15,50,42,,75,3,11,12,32,89,77
WK008020,Wijk 20 Transvaalwijk & Rengerspark,80,Leeuwarden,3050,2525,312,46,11,46,34,,53,7,7,14,33,91,78
WK008021,Wijk 21 Bilgaard & Havankpark e.o.,80,Leeuwarden,6735,5523,819,55,14,52,41,,53,7,26,22,43,85,68
WK008022,Wijk 22 Vrijheidswijk,80,Leeuwarden,3485,2715,304,55,15,53,42,,50,6,27,21,41,86,69
WK008023,Wijk 23 Lekkum e.o.,80,Leeuwarden,670,538,41,40,7,43,26,,28,4,1,11,34,91,80
WK008024,Wijk 24 Blitsaerd,80,Leeuwarden,385,,318,33,5,36,20,,10,1,4,5,26,96,88
WK008030,Wijk 30 Oldegalileën & Bloemenbuurt,80,Leeuwarden,3195,2778,213,52,13,49,40,,63,5,11,15,37,88,74
WK008031,Wijk 31 Tjerk Hiddes & Cambuursterhoek,80,Leeuwarden,4355,3532,277,46,10,47,34,,46,4,8,14,36,90,76
WK008032,Wijk 32 Vlietzone,80,Leeuwarden,5000,4261,184,51,13,49,39,,64,3,9,13,34,90,76
WK008033,Wijk 33 Oranjewijk & Tulpenburg,80,Leeuwarden,1695,1556,75,47,12,46,35,,61,4,8,10,31,92,80
WK008034,Wijk 34 Heechterp,80,Leeuwarden,1805,1433,32,61,18,57,49,,61,2,34,21,41,83,68
WK008035,Wijk 35 Schieringen & De Centrale,80,Leeuwarden,1790,1471,77,55,15,52,43,,61,3,20,16,37,87,72
WK008036,Wijk 36 Camminghaburen,80,Leeuwarden,10745,8398,676,42,8,43,28,,33,4,7,12,35,91,79
WK008037,Wijk 37 Grote Wielen & De Groene Ster,80,Leeuwarden,115,,109,42,9,45,27,,42,3,0,11,36,91,78
WK008038,Wijk 38 Bedrijventerreinen-Oost,80,Leeuwarden,90,,77,47,11,50,32,,48,4,4,11,34,89,79
WK008040,Wijk 40 Achter de Hoven,80,Leeuwarden,2475,2029,112,48,12,47,36,,52,3,9,13,35,90,76
WK008041,Wijk 41 Schepenbuurt,80,Leeuwarden,940,795,132,60,17,56,46,,58,11,29,26,41,82,65
WK008042,Wijk 42 Wielenpôlle,80,Leeuwarden,795,548,31,55,14,54,40,,37,3,19,18,39,86,70
WK008043,Wijk 43 Huizum-Oost,80,Leeuwarden,2605,2135,352,45,9,44,31,,45,8,4,16,36,90,76
WK008044,Wijk 44 Huizum-West,80,Leeuwarden,6750,5457,383,46,10,46,34,,50,4,6,13,35,91,77
WK008045,Wijk 45 Aldlân,80,Leeuwarden,6630,5416,981,45,8,44,30,,40,9,7,17,38,90,75
WK008046,Wijk 46 Nijlân,80,Leeuwarden,3615,3182,522,50,12,48,37,,59,8,7,17,38,88,73
WK008050,Wijk 50 Hempens/Teerns e.o. & Zuiderburen,80,Leeuwarden,6030,4047,150,35,6,38,22,,14,2,6,7,28,94,85
WK008051,Wijk 51 Wirdum & Swichum e.o.,80,Leeuwarden,1250,930,101,40,7,41,26,,25,5,2,11,32,92,81
WK008052,Wijk 52 Wytgaard e.o.,80,Leeuwarden,580,440,40,39,7,40,25,,35,5,0,10,31,93,81
WK008053,Wijk 53 Goutum e.o.,80,Leeuwarden,2825,2210,187,37,6,39,22,,18,3,2,9,31,93,83
WK008054,Wijk 54 Techum,80,Leeuwarden,1145,,803,33,6,33,22,,9,0,5,5,21,95,88
WK008056,Wijk 56 Wiarda,80,Leeuwarden,0,,,,,,,,,,,,,,
WK008058,Wijk 58 De Werp,80,Leeuwarden,5,,,,,,,,,,,,,,
WK008060,Wijk 60 De Zwette,80,Leeuwarden,80,,59,48,13,47,35,,76,1,6,7,26,93,82
WK008061,Wijk 61 Vossepark & Helicon,80,Leeuwarden,4195,3268,295,41,8,42,29,,44,4,4,10,32,93,81
WK008062,Wijk 62 Vogelwijk & Muziekwijk,80,Leeuwarden,3335,2619,250,44,10,44,33,,51,4,5,11,33,92,79
WK008063,Wijk 63 Valeriuskwartier & Magere Weide,80,Leeuwarden,1375,1195,60,52,14,50,41,,57,3,12,13,33,89,75
WK008064,Wijk 64 Westeinde,80,Leeuwarden,3890,3097,406,43,8,43,29,,37,7,5,14,36,91,78
WK008065,Wijk 65 Buitengebied Noordwest,80,Leeuwarden,35,,23,36,6,42,21,,38,,,5,25,95,87
WK008069,Wijk 69 "De Zuidlanden",80,Leeuwarden,5,,,,,,,,,,,,,,
WK008070,Wijk 70 Wergea & Warten e.o.,80,Leeuwarden,2655,2000,195,41,8,43,26,,31,5,3,12,33,91,80
WK008071,Wijk 71 Reduzum e.o.,80,Leeuwarden,1300,984,64,39,7,41,24,,27,4,2,9,31,93,82
WK008072,Wijk 72 Grou e.o.,80,Leeuwarden,5730,4551,509,42,8,43,28,,36,5,3,13,35,90,79
WK008073,Wijk 73 Jirnsum e.o.,80,Leeuwarden,1345,1002,66,40,7,42,26,,30,3,1,10,32,92,81
WK008100,Wijk 00 Noord,81,Leeuwarderadeel,8425,6614,781,41,8,43,26,,27,5,4,13,35,90,78
WK008101,Wijk 01 Zuid,81,Leeuwarderadeel,1745,1384,106,38,7,41,24,,26,4,2,10,32,92,81
WK008500,Wijk 00 Oosterwolde,85,Ooststellingwerf,9860,7775,1024,44,9,45,30,,35,7,4,17,37,89,76
WK008501,Wijk 01 Donkerbroek,85,Ooststellingwerf,2445,1880,178,39,6,41,24,,23,5,1,12,31,92,81
WK008502,Wijk 02 Makkinga,85,Ooststellingwerf,1920,1552,136,39,6,42,24,,23,4,1,11,31,92,81
WK008503,Wijk 03 Oldeberkoop,85,Ooststellingwerf,1795,1442,172,39,7,42,25,,29,7,1,12,33,91,80
WK008504,Wijk 04 Haulerwijk,85,Ooststellingwerf,4040,3150,403,41,8,43,26,,29,7,2,14,34,90,78
WK008505,Wijk 05 Appelscha,85,Ooststellingwerf,5500,4517,539,43,8,45,28,,32,7,1,14,36,89,77
WK008600,Wijk 00 Gorredijk,86,Opsterland,7315,5817,825,43,8,44,29,,34,7,4,15,36,89,76
WK008601,Wijk 01 Langezwaag,86,Opsterland,3340,2502,160,39,7,41,24,,23,3,1,10,31,93,82
WK008602,Wijk 02 Terwispel,86,Opsterland,2740,2061,110,39,7,41,24,,24,4,2,9,30,93,82
WK008603,Wijk 03 Beetsterzwaag,86,Opsterland,5805,4643,621,41,8,43,27,,32,6,2,13,35,89,78
WK008604,Wijk 04 Ureterp,86,Opsterland,6665,4982,515,40,7,41,25,,27,6,2,12,32,91,80
WK008605,Wijk 05 Bakkeveen,86,Opsterland,3960,3022,263,41,7,42,25,,29,5,2,11,32,92,81
WK008800,Wijk 00,88,Schiermonnikoog,920,779,110,40,8,44,28,,50,8,2,13,33,90,78
WK009000,Wijk 00 Drachten,90,Smallingerland,44660,34930,4131,43,9,44,30,,37,6,6,15,36,89,76
WK009001,Wijk 01 Overig Smallingerland,90,Smallingerland,10780,8204,688,40,7,42,25,,24,5,4,11,32,92,81
WK009300,Wijk 00 West-Terschelling,93,Terschelling,2580,2205,240,42,10,43,30,,59,6,2,10,31,94,81
WK009301,Wijk 01 Midsland,93,Terschelling,1270,1012,86,38,7,41,25,,35,4,0,9,31,94,81
WK009302,Wijk 02 Formerum,93,Terschelling,270,215,22,38,5,39,23,,31,6,1,8,29,96,85
WK009303,Wijk 03 Lies,93,Terschelling,135,109,19,37,6,42,23,,28,3,1,11,31,94,82
WK009304,Wijk 04 Hoorn,93,Terschelling,485,400,46,37,7,39,25,,37,7,1,10,30,94,82
WK009305,Wijk 05 Oosterend,93,Terschelling,125,,89,36,7,38,23,,39,5,2,9,25,95,85
WK009600,Wijk 00,96,Vlieland,1080,941,84,42,9,43,29,,47,5,2,11,33,94,79
WK009800,Wijk 00 Wolvega,98,Weststellingwerf,12750,10115,1677,44,9,44,30,,36,9,6,16,37,89,75
WK009801,Wijk 01 Sonnega,98,Weststellingwerf,990,803,66,36,6,40,21,,21,4,1,9,28,94,84
WK009802,Wijk 02 Helomavaart,98,Weststellingwerf,440,335,18,38,6,41,23,,20,3,0,9,29,93,83
WK009803,Wijk 03 Munnekeburen,98,Weststellingwerf,780,638,59,39,6,42,23,,22,4,1,10,31,93,81
WK009804,Wijk 04 Scherpenzeel,98,Weststellingwerf,675,527,27,38,6,41,23,,23,3,1,9,29,93,83
WK009805,Wijk 05 Oldeholtpade,98,Weststellingwerf,1485,1175,82,38,6,41,22,,21,3,0,9,30,93,83
WK009806,Wijk 06 Blesdijke,98,Weststellingwerf,1370,1044,97,38,7,41,23,,22,4,1,10,31,92,82
WK009807,Wijk 07 Steggerda,98,Weststellingwerf,1660,1318,114,38,6,41,23,,24,4,1,10,30,93,82
WK009808,Wijk 08 Noordwolde,98,Weststellingwerf,5355,4311,501,42,8,44,28,,33,7,2,14,36,90,77
WK010600,Wijk 00 Assen centrum,106,Assen,5820,5210,1003,48,11,48,34,,57,10,6,22,40,87,70
WK010601,Wijk 01 Lariks,106,Assen,5705,4803,780,49,12,48,37,,55,10,9,23,39,86,68
WK010602,Wijk 02 Noorderpark,106,Assen,8465,7059,1161,47,10,47,33,,47,8,9,22,39,88,70
WK010603,Wijk 03 Assen Oost,106,Assen,7730,6618,869,47,12,47,33,,45,6,5,22,39,86,70
WK010604,Wijk 04 Pittelo,106,Assen,3740,2805,288,44,11,46,31,,31,5,13,19,36,90,73
WK010605,Wijk 05 Assen West,106,Assen,4055,3306,293,43,9,44,30,,29,5,7,15,35,91,77
WK010606,Wijk 06 Peelo,106,Assen,6770,5064,218,41,9,43,29,,32,3,5,14,33,92,79
WK010607,Wijk 07 Marsdijk,106,Assen,12530,9247,460,39,8,41,25,,21,2,4,12,32,93,82
WK010608,Wijk 08 Kloosterveen,106,Assen,11100,7259,301,36,7,39,25,,16,2,5,10,30,93,83
WK010699,Wijk 99 Buitengebied,106,Assen,1135,895,93,40,7,41,24,,27,6,4,13,32,92,80
WK010910,Wijk 10 Coevorden,109,Coevorden,14330,11192,1384,44,11,45,31,,35,7,5,21,38,86,73
WK010911,Wijk 11 Steenwijksmoer,109,Coevorden,935,743,41,39,7,42,23,,21,4,1,14,31,91,80
WK010912,Wijk 12 Nieuwe Krim,109,Coevorden,180,,133,36,5,38,21,,17,4,2,11,30,93,83
WK010913,Wijk 13 Weijerswold,109,Coevorden,80,,63,36,5,41,19,,23,1,0,9,30,93,84
WK010914,Wijk 14 Vlieghuis en Padhuis,109,Coevorden,110,85,10,38,6,42,21,,12,2,0,13,29,93,82
WK010920,Wijk 20 Dalen,109,Coevorden,5565,4331,448,39,7,41,25,,26,6,1,15,34,91,79
WK010930,Wijk 30 Oosterhesselen,109,Coevorden,4245,3356,483,40,7,41,25,,26,7,1,16,35,91,77
WK010940,Wijk 40 Sleen,109,Coevorden,6715,5449,695,41,8,43,27,,28,7,1,17,37,89,76
WK010950,Wijk 50 Zweeloo,109,Coevorden,3210,2628,328,43,8,42,28,,29,6,8,18,35,90,77
WK011401,Wijk 01 Nieuw-Weerdinge,114,Emmen,3445,2670,224,42,8,43,27,,26,5,1,17,36,89,75
WK011402,Wijk 02 Roswinkel,114,Emmen,790,634,50,40,6,42,24,,25,5,1,15,34,91,78
WK011403,Wijk 03 Emmer-Compascuum,114,Emmen,7860,6178,552,42,9,43,28,,27,6,2,17,37,89,75
WK011404,Wijk 04 Barger-Compascuum,114,Emmen,1900,1548,133,40,7,42,26,,26,6,1,17,36,90,76
WK011405,Wijk 05 Nieuw-Dordrecht,114,Emmen,2070,1608,124,40,8,41,26,,23,5,1,16,34,90,77
WK011406,Wijk 06 Nieuw-Amsterdam,114,Emmen,4830,3751,434,41,9,42,28,,30,7,1,18,36,88,75
WK011407,Wijk 07 Erica,114,Emmen,4840,3799,336,39,8,41,26,,25,5,1,15,34,90,78
WK011408,Wijk 08 Klazienaveen,114,Emmen,12010,9645,1150,41,9,43,29,,29,8,1,19,37,88,74
WK011409,Wijk 09 Zwartemeer,114,Emmen,3020,2367,164,41,9,42,28,,26,6,1,17,36,89,75
WK011410,Wijk 10 Schoonebeek,114,Emmen,4885,3865,407,40,8,42,27,,27,6,1,16,35,90,77
WK011413,Wijk 13 Veenoord,114,Emmen,2210,1732,187,43,10,44,30,,29,6,3,20,38,87,73
WK011421,Wijk 21 Nieuw-Schoonebeek,114,Emmen,1300,990,92,40,7,41,25,,28,6,1,14,32,91,79
WK011432,Wijk 32 Weiteveen,114,Emmen,1680,1342,98,42,9,43,28,,28,6,1,18,36,89,74
WK011440,Wijk 40 Emmen-Centrum,114,Emmen,3745,3673,1367,49,12,47,37,,58,21,3,31,46,84,63
WK011441,Wijk 41 Emmen-Centrum Oost,114,Emmen,2770,2316,511,43,10,44,31,,37,12,3,23,40,88,72
WK011442,Wijk 42 Emmermeer,114,Emmen,5995,4880,671,47,12,47,35,,44,7,7,23,40,86,69
WK011443,Wijk 43 Angelslo,114,Emmen,7840,6230,870,49,14,49,36,,41,7,18,25,42,85,67
WK011444,Wijk 44 Emmerhout,114,Emmen,7375,5911,760,47,13,48,34,,42,7,9,24,41,86,69
WK011445,Wijk 45 Emmerschans,114,Emmen,1005,805,68,43,11,45,30,,30,4,3,19,38,88,74
WK011446,Wijk 46 Bargeres,114,Emmen,9060,7115,614,45,12,46,33,,41,5,9,20,38,88,72
WK011447,Wijk 47 Rietlanden,114,Emmen,9660,7376,449,39,9,42,27,,25,3,3,15,35,91,78
WK011448,Wijk 48 Parc Sandur,114,Emmen,2085,1646,94,37,6,39,23,,18,2,3,12,34,93,82
WK011449,Wijk 49 Delftlanden,114,Emmen,990,,595,40,8,39,30,,10,1,22,14,27,92,82
