GMC,GMN,YEAR,Total_All_Pop,Total_ICPCPat_Pop,Gender_Mannen,Gender_Vrouwen,0to20,21to40,41to60,61to80,Above80,MajorEthnicity_NativeDutch,MajorEthnicity_Western,MajorEthnicity_NonWestern,MajorEthnicity_Other,MinorEthnicity_Marokko,MinorEthnicity_Suriname,MinorEthnicity_Turkije,MinorEthnicity_VoormaligeNederlandseAntillenenAruba,Multiperson_Household,HouseholdType_Institutional,Employee,Unemployment_benefit_user,Welfare_benefit_user,Other_social_benefit_user,Sickness_benefit_user,Pension_benefit_user,Moving_count_above_1,Lifeevents_count_above_2,Low_Income,Debt_Mortgage,Debt_Poor,Wanbet,WMO_user,WLZ_user,ZVWKHUISARTS_user,ZVWKFARMACIE_user,ZVWKZIEKENHUIS_user,ZVWKOSTENPSYCHO_user,HVZ_Medication_user,UniqueMed_Count_5,UniqueMed_Count_10,DIAB_Medication_user,BLOEDDRUKV_Medication_user,CHOL_Medication_user,DIURETICS_Medication_user,DIURETICS_RAAS_BETA_Medication_user,OPIOID_Medication_user,OPIOID_MULYEARS_Medication_user,Opioid_user_no_death,Opioid_user_no_death_primary,Opioid_user_2Years_no_death,Opioid_user_2Years_no_death_primary,ICU_Referral,Ambulance_Referral,Cardiologist_Referral,Lab_Referral,Physiologie_Referral,Hypertensie_patients,COPD_patients,Diabetes_I_patients,Diabetes_II_patients,Hartfalen_patients,ICPC_Hartfalen_patients,OMA_patients,Morbus_Parkinson_patients,Heupfractuur_patients,BMIUP45_patients,Lung_Cancer_patients,Colon_Cancer_patients,Back_pain_patients,Medication_Dependency_patients,Medication_Dependency_3Years_patients,Medication_Dependency_5Years_patients,Alcohol_Dependency_patients,Alcohol_Dependency_3Years_patients,Alcohol_Dependency_5Years_patients,Loneliness_patients,Loneliness_3Years_patients,Loneliness_5Years_patients,ICPC_Obesitas_patients,BMI_NormalWeight,BMI_Obese,BMI_OverWeight,BMI_UnderWeight,Primary_care_patients_in_Secondary_care,Proxy_Primary_care_refer_to_Secondary_care,JGDHULP_user,GEDETINEERDENTAB,SHNTAB,HBOPL_Low,HBOPL_Mid,HBOPL_High,HGOPL_Low,HGOPL_Mid,HGOPL_High
GM0484,Alphen aan den Rijn,2009,109190,73923,0.49661141130140124,0.5033885886985988,0.24874072717281803,0.2605549958787435,0.2885337485117685,0.16141588057514425,0.029123546112281344,0.8272277681106328,0.08036450224379522,0.09240772964557194,0.17277223188936716,0.026055499587874346,0.01378331349024636,0.009295723051561499,0.007967762615624142,20995,0.014882315230332448,,,,,,,0.00471654913453613,0.007464053484751351,,,0.0024269621760234453,,,,0.960115395182709,0.7121073358366151,0.540067771773972,0.03645022437952193,22700.0,0.20157523582745673,0.0453796135177214,0.03058888176572946,0.1718563971059621,0.08471471746496932,0.015202857404524223,0.01849986262478249,0.040479897426504256,,3095.0,0.03077204872241048,,0.010669475226669108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006319260005495009,0.009158347834050737,0.011127392618371645,0.00045791739170253685,,,,0.0022895869585126843,0.008837805659858962,,,,,,
GM0484,Alphen aan den Rijn,2010,109178,74156,0.49657440143618675,0.5033981205004672,0.24748575720383229,0.25357672791221675,0.28948139735111467,0.1672040154609903,0.030042682591730936,0.8252578358277308,0.08138086427668578,0.09337961860448075,0.17476048288116652,0.026424737584495046,0.013739031673047684,0.00925094799318544,0.00783124805363718,20435,0.015021341295865468,,,,,,,0.00462547399659272,0.01085383502170767,,,0.001969261206470168,0.011540786605360055,,,0.9533972045650223,0.7086592536957995,0.5469966476762718,0.038835662862481454,23400.0,0.20690981699609812,0.04794922053893642,0.03187455348147063,0.17627177636520178,0.09008225100294931,0.01506713806810896,0.02024217333162359,0.04373591749253512,0.015341918701569913,3410.0,0.03315686310428841,0.010166883438055286,0.0112660059718991,0.0008091051297265225,,0.0455795889745941,0.0541426182641998,0.1182641997950267,,0.0002289838612174614,0.0001831870889739691,0.0001831870889739691,,225.0,,9.159354448698455e-05,,,,9.159354448698455e-05,,0.00032057740570444595,0.00032057740570444595,0.00032057740570444595,0.0015112934840352452,0.0015112934840352452,0.0015112934840352452,9.159354448698455e-05,9.159354448698455e-05,9.159354448698455e-05,0.002427228928905091,0.011632380149847039,0.015708292879517853,0.019051457253292787,0.0007785451281393688,0.0066076918927666,0.0066076918927666,,0.002473025701148583,0.008472402865046072,,,,,,
GM0484,Alphen aan den Rijn,2011,109224,74332,0.49650260016113673,0.5035065553358237,0.24587087087087087,0.24811396762616275,0.29109902585512343,0.17203178788544643,0.03163224199809565,0.8229876217681096,0.08249102761297883,0.09453050611587197,0.1770215337288508,0.026917161063502528,0.013687467955760639,0.009384384384384385,0.0075075075075075074,92965,0.012955028198930638,0.40609206767743355,0.008514612173148759,0.010437266534827511,0.00997949168680876,0.020874533069655022,0.16658426719402328,0.004486193510583754,0.011490148685270636,4010.0,0.5119296125393686,0.0021515417856881273,0.012268365926902513,,,0.9770288581264192,0.6984270856222076,0.5667252618472131,0.0484325789203838,23960.0,0.20741778363729582,0.04921079616201567,0.033509118874972536,0.18027173514978392,0.09512561341829634,0.01524390243902439,0.02059986816084377,0.04765436167875192,0.017075001831099394,3775.0,0.03579799311506628,0.011398593715666887,0.012634585805317513,0.0007399235860732928,,0.04890222246138944,0.053610827100037665,0.1274013883657106,,0.00022888742400937524,0.00013733245440562513,0.00022888742400937524,,255.0,,0.00013733245440562513,,,,0.0001831099392075002,,0.0004577748480187505,0.0007324397568300008,0.0007324397568300008,0.0015564344832637515,0.0028382040577162528,0.0028382040577162528,0.00013733245440562513,0.0001831099392075002,0.0001831099392075002,0.0027008716033106277,0.012588808320515638,0.016388339559071267,0.020828755584853146,0.0007782172416318757,0.011098853791099391,0.010897056449443039,,0.002243096755291877,0.011398593715666887,,,,,,
GM0484,Alphen aan den Rijn,2012,109117,74364,0.4961646672837413,0.5038170037665991,0.24331680673039033,0.24299605011134837,0.29230092469551033,0.17801992356827992,0.03257970801983193,0.8215951684888697,0.08316760908016166,0.09521889348130905,0.1783865025614707,0.027310134992714244,0.013655067496357122,0.009393586700514127,0.007560691734560151,92895,0.01305937663242208,0.4026412016459397,0.010264211809342266,0.010447501305937664,0.010447501305937664,0.020803357863577628,0.17174225830988754,0.004719704537331488,0.012097106775296242,4540.0,0.5088116425488237,0.0023369410815913196,0.011822172530403146,,,0.9789033789418697,0.6920553167700725,0.5657230312416947,0.04256898558428109,24410.0,0.20189338049983047,0.04770109148895223,0.0347791819789767,0.1833811413436953,0.0994345519030032,0.014983916346673754,0.020299311747940283,0.04825095997873842,0.018878818149325953,3945.0,0.035741451836102535,0.012967731884124381,0.013884179367101368,0.0006723683502770157,,0.048410521219945137,0.05930288849443279,0.12028669786455812,70.0,0.002978454319675211,0.002153651584995922,0.004536415040736091,0.002428585829889018,270.0,0.00531539540126653,0.0013288488503166325,,0.0001832894965953976,0.0007789803605304398,0.0017870725918051266,0.0015121383469120302,0.0005498684897861928,0.0012372041020189339,0.0012372041020189339,0.0017412502176562773,0.004078191299247596,0.004078191299247596,9.16447482976988e-05,0.0002749342448930964,0.0002749342448930964,0.002657697700633265,0.011684705407956597,0.01695427843507428,0.020940824986024176,0.0007789803605304398,0.2522053681889086,0.2421198429347534,,0.0020161844625493737,0.009897632816151471,,,,,,
GM0484,Alphen aan den Rijn,2013,108586,74175,0.49656493470613156,0.5034258560035364,0.24165177831396312,0.2379220157294679,0.2920726428821395,0.18423185309340062,0.03375204906709889,0.8203635827823108,0.08362035621535005,0.09600685171200707,0.17962720792735712,0.027766010351242335,0.013721842594809644,0.009255336783747445,0.007459525168990478,92655,0.011879984528392243,0.3945720442782679,0.013998121304772255,0.011465566463448327,0.011189287753485716,0.020444624537233162,0.17529884147127622,0.013813935498130514,0.02352973679848231,5100.0,0.5165030482751,0.0022562761313613174,0.011695798721750502,,,0.9799145377857182,0.6762842355368095,0.5561490431547345,0.04655296262869983,24535.0,0.1991509034313816,0.04839482069511723,0.03573204648849759,0.1846002247066841,0.10240730849280755,0.015103236144622695,0.020674856795535337,0.0420404103659772,0.016024165177831395,3380.0,0.030482750999208,0.011097194850164846,0.012386495496657027,0.0005392652510953826,,0.048264239973036735,0.059453993933265926,0.11890798786653185,180.0,0.0033153445195513234,0.002026043873059142,0.004374412907741329,0.0048809238760061146,255.0,0.008979058073784834,0.0013813935498130515,0.00036837161328348036,0.00041441806494391543,0.001105114839850441,0.002026043873059142,0.002210229679700882,0.00046046451660435045,0.0013353470981526164,0.0015655793564547916,0.0018418580664174018,0.004420459359401764,0.005433481295931335,0.00013813935498130513,0.00032232516162304534,0.00036837161328348036,0.0033153445195513234,0.013353470981526163,0.019569741955684894,0.02389810841176579,0.000966975484869136,0.3955510616784631,0.21044826423997304,,0.0016576722597756617,0.00013813935498130513,33265.0,0.1778774427642606,0.11801705560569503,0.249894093161181,0.18031790470226364,0.17060210340191184
GM0484,Alphen aan den Rijn,2014,109870,74848,0.4964958587421498,0.5035041412578501,0.2386001638299809,0.23819058887776462,0.290070082825157,0.1878128697551652,0.0350869209065259,0.8170565213434059,0.08514608173295714,0.09779739692363702,0.18294347865659416,0.02835168835896969,0.013561481751160462,0.00937471557294985,0.007554382451988714,93120,0.01192318194229544,0.38827705470101026,0.014562664967689086,0.012560298534631838,0.011832165286247384,0.020842814235005006,0.17807408755802312,0.004687357786474925,0.012651315190679895,5100.0,0.5047783744425229,0.0020478747610812777,0.012651315190679895,,,0.9802038773095476,0.6732957131155002,0.5556111768453627,0.053290252116137256,24855.0,0.19859834349685992,0.050059160826431234,0.03572403749886229,0.1833530536088104,0.10557932101574588,0.014335123327568946,0.020114680986620552,0.0455083280240284,0.01620096477655411,3785.0,0.030991171384363338,0.011422590334031127,0.011286065349959042,0.0008016246259085079,,0.05330803762291578,0.05925342026507054,0.123116182129115,160.0,0.002867024665513789,0.0020478747610812777,0.0032765996177300445,0.004687357786474925,220.0,0.008145990716301083,0.0012287248566487667,0.0005005916082643124,0.00040957495221625556,0.0012742331846727951,0.0020478747610812777,0.0012742331846727951,0.00045508328024028395,0.0012742331846727951,0.0018658414489851642,0.0017748247929371074,0.00455083280240284,0.006553199235460089,9.101665604805679e-05,0.0003185582961681988,0.00045508328024028395,0.002730499681441704,0.015199781560025485,0.021935014107581686,0.026485846909984526,0.0010921998725766816,0.3906584010260795,0.14910218041898246,,0.0020933830891053063,0.009465732228997907,33715.0,0.18262492036042596,0.12269045235278056,0.2490215709474834,0.18576499499408392,0.1759807044689178
GM0484,Alphen aan den Rijn,2015,110404,75474,0.4971740154342234,0.5028350422086156,0.2362686134560342,0.23776312452447376,0.2876707365675157,0.19215789282996992,0.03604941849932974,0.8131951740878953,0.08704394768305496,0.09972464765769357,0.18676859534074852,0.028622151371327127,0.013677040686931633,0.009465236766783812,0.00760841998478316,93405,0.012363682475272635,0.3874859606535995,0.01354117604434622,0.014084634614687874,0.012091953190101808,0.020153255316836347,0.17974892214050214,0.0054345857034165425,0.012771276403028876,4785.0,0.49663055686388174,0.0019926814245860656,0.01204666497590667,255.0,0.017888844607079454,0.979312343755661,0.6687257708054056,0.5554146588891706,0.03659287706967139,25080.0,0.19994746567153365,0.05244375203796964,0.03577768921415891,0.18319082641933263,0.10796710264120865,0.013858193543712184,0.02006267888844607,0.0490471359733343,0.017888844607079454,4215.0,0.03179232636498677,0.01308829390239484,0.012137241404296947,0.0007949757532395262,,0.05650952645944299,0.05710575827437263,0.1335559265442404,125.0,0.0034419042788304773,0.002219122495561755,0.0029890221368790984,0.004302380348538097,235.0,0.00760841998478316,0.0014945110684395492,0.000317017499365965,0.0005434585703416542,0.0011774935690735842,0.0020832578529763413,0.0013133582116589978,0.0004981703561465164,0.001222781783268722,0.0019926814245860656,0.0015397992826346873,0.00443824499112351,0.006521502844099852,0.00018115285678055142,0.00036230571356110283,0.0004981703561465164,0.002807869280098547,0.01861345603420166,0.023821600666642514,0.030841273866888883,0.001585087496829825,0.3892068791901847,0.14945544160903093,2905.0,0.00190210499619579,0.010235136408101156,33870.0,0.18672330712655338,0.12843737545741096,0.2484511430745263,0.1899840585486033,0.1820586210644542
GM0484,Alphen aan den Rijn,2016,111453,76256,0.4979677532233318,0.5020053296008182,0.23413456793446566,0.23763380079495391,0.2851874781297946,0.19595704018734356,0.037055978753375865,0.8067974841412973,0.08900612814370183,0.10421433249890089,0.1932204606426027,0.029070549917902613,0.013638035763954313,0.009690183305967538,0.007671395117224301,94205,0.012695934609207468,0.38917750082994623,0.011170627977712578,0.014490412999201457,0.01274079656895732,0.019918710128933273,0.181197455429643,0.00637039828447866,0.015432514153948302,4505.0,0.4794397638466439,0.0016598925107444394,0.011036042098463029,245.0,0.01700268274519304,0.9779458605869739,0.669250715548258,0.5688945115878442,0.03687653091437646,25375.0,0.20255174827057146,0.05190528743057612,0.03597929171937947,0.1831713816586364,0.10874539043363571,0.014714722797950705,0.019380366611935075,0.04979677532233318,0.018572851336437782,4450.0,0.03216602514064224,0.01413151732120266,0.01247162481045822,0.0003934116659672681,,0.058224926563155685,0.06288029794376836,0.13841533780948384,140.0,0.0035440948202381272,0.0026019936654912835,0.003319785021488879,0.004979677532233318,225.0,0.008254600593972348,0.0017944783899939885,0.0004934815572483468,0.0007626533157474451,0.0015253066314948902,0.002691717584990983,0.0009869631144966936,0.0003588956779987977,0.0010766870339963932,0.0017944783899939885,0.0017944783899939885,0.004396472055485272,0.006774155922227306,0.00022430979874924856,0.0004486195974984971,0.0005832054767480463,0.002826303464240532,0.020412191686181618,0.025750764896413734,0.033467021973387884,0.0017944783899939885,0.44724349559378934,0.181166072177927,3075.0,0.0022430979874924857,0.009062115869469641,34265.0,0.19393825199860032,0.1331951584973038,0.2468305025436731,0.19828986209433572,0.18792674939212045
GM0484,Alphen aan den Rijn,2017,112310,76988,0.49813017540735466,0.5018698245926454,0.23225892618644822,0.23844715519544118,0.2820763956904995,0.19931439764936337,0.038019766717122254,0.8012198379485354,0.09148784614014781,0.1072923159113169,0.1987801620514647,0.029249398984952366,0.013533968480099724,0.009883358561125457,0.007790935802688986,94695,0.013355889947466833,0.39284124298815776,0.009126524797435668,0.01584898940432731,0.012599056183777047,0.020256433086991363,0.18350992787819428,0.006766984240049862,0.015670910871694418,4470.0,0.47097319918083874,0.0013801086279049061,0.010061437093758348,3870.0,0.0170064998664411,0.9780963404861543,0.6666815065443861,0.5722553646157955,0.03659513845605912,25800.0,0.2007835455435847,0.053022883091443325,0.036283501023951566,0.18297569228029562,0.10974089573501915,0.014290802243789511,0.01927700115751046,0.051687294096696645,0.019187961891194018,4750.0,0.03383492120024931,0.014958596741162853,0.012910693615884605,0.0006494518626279421,,0.06124331064581493,0.06299683067491038,0.14716579207149166,190.0,0.0031163743210755944,0.002582138723176921,0.002804736888968035,0.0049416792805627285,270.0,0.008102573234796545,0.0018698245926453566,0.0005342355978986733,0.0006232748642151189,0.00160270679369602,0.0022705012910693616,0.0009794319294809011,0.0003561570652657822,0.0009794319294809011,0.0015581871605377972,0.0016472264268542428,0.004362924049505832,0.006677944973733417,0.0001780785326328911,0.0004897159647404506,0.0006232748642151189,0.0023150209242275843,0.021903659513845607,0.026088505030718547,0.033478764134983525,0.0014246282610631288,0.44182210214578893,0.1458668883462358,3145.0,0.002136942391594693,0.008725848099011665,34200.0,0.2018965363725403,0.14041492298103464,0.2439230700739026,0.20381088059834387,0.197444573056718
GM0484,Alphen aan den Rijn,2018,113604,77890,0.4989701066863843,0.5010386958205697,0.22939333122073166,0.24136474067814515,0.2795236083236506,0.2013133340375339,0.03886306820182388,0.7944262525967396,0.09506707510298933,0.1105154748072251,0.20558254991021443,0.029488398295834654,0.01355586070912996,0.010210908066617373,0.007922256258582444,95405,0.01408401112636879,0.39853350234146684,0.00695398049364459,0.015096299426076546,0.012059434526953277,0.02068589134185416,0.1819478187387768,0.005589591915777613,0.014524136474067815,4620.0,0.4453188268018732,0.0011883384387873666,0.009198619766909616,3910.0,0.01764902644273089,0.9750536952924193,0.6657336009295447,0.5710626386394845,0.039303193549522907,25995.0,0.2033819231717193,0.053783317488820814,0.035958240907010317,0.18124361818245838,0.10941516143797754,0.014392098869758107,0.019189465159677475,0.0499982394986092,0.019937678250765818,4715.0,0.032041125312489,0.0160205626562445,0.01320376043097074,0.0021825651559892155,,0.057902169726537424,0.06438567210168186,0.137629991012967,195.0,0.0013203760430970741,0.0007042005563184395,0.0003961128129291222,0.00374106545544171,285.0,0.005369529241928101,0.00048413788246892713,0.0005281504172388297,0.0006601880215485371,0.0008802506953980493,0.0007482130910883419,0.0005281504172388297,0.0003961128129291222,0.0009242632301679518,0.0015404387169465864,0.0018045139255660012,0.004533291081299954,0.006689905285025175,8.802506953980494e-05,0.0003961128129291222,0.0005721629520087321,0.002904827294813563,0.022886518080349284,0.02658357100102109,0.03547410302454139,0.0015404387169465864,0.36365387084349726,0.1371164462703813,3245.0,,0.008494419210591176,34100.0,0.20835533960071828,0.14748600401394318,0.23916411393965,0.2088834900179571,0.20624273793176295
