WKC,gem_name,WKN,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
WK178304,Westland,'s-Gravenzande,2009,38.6253443657389,,0.0626258657104966,0.0882656319072646,3.70046748246941,1975.4338507967475,135.9902734157116,81.11555816394116,1095.5863034296763,318.7677795787442,163.62404420608135
WK178304,Westland,'s-Gravenzande,2010,38.8619277234639,,0.0685927672955975,0.123034591194969,3.79292894754838,2015.9596762123683,137.77991987509543,74.48036360903345,1148.3030677801723,329.75633431773434,143.80777752847501
WK178304,Westland,'s-Gravenzande,2011,39.0570488025545,28975.1822781006,0.0768226017125441,0.140244787383291,3.89478480302818,2013.2121695437636,141.98231847307727,74.66337752979479,1110.175646638234,328.1085204173902,181.32483861138002
WK178304,Westland,'s-Gravenzande,2012,39.2563219825341,29052.7905828932,0.0854230474732006,0.163811255742726,3.79994405985595,1958.5578076746829,138.59894746271235,77.32650060285674,1122.689080075805,297.69004119920356,142.62989061674196
WK178304,Westland,'s-Gravenzande,2013,39.3085981126118,29198.0545170579,0.0953430567931342,0.185574262533415,3.76426174496644,1989.2557128156923,136.79046046602863,75.73654876838074,1151.2887709299168,250.18072817121174,173.2239362214253
WK178304,Westland,'s-Gravenzande,2014,39.5051586967833,31443.5972966449,0.095125676989307,0.19469518122483,3.74985966881841,1948.4246159508482,140.55327573883412,78.11464590862268,1150.1982262568995,241.3586943062465,150.22696755070706
WK178304,Westland,'s-Gravenzande,2015,39.7452217247615,30723.3296121644,0.0896819526627219,0.193417159763314,3.83095288850991,2044.5997348478345,150.2068029193012,86.17375475202932,1168.1379993078397,237.86319898177715,102.23412097146165
WK178304,Westland,'s-Gravenzande,2016,39.901819409324,32688.0052115706,0.10564545788893,0.217129459360059,3.79613855763771,2149.828520728264,154.387466575122,89.14494397842621,1244.1541023371287,240.36687939261802,108.14789913455667
WK178304,Westland,'s-Gravenzande,2017,40.2794313771749,33749.0614412728,0.122326930047119,0.25063428778543,3.84917662025585,2151.301224043161,153.9197305268766,87.0252526174311,1248.3984253315514,240.76631376640023,91.21644601376308
WK178304,Westland,'s-Gravenzande,2018,40.3847283342915,34664.7735280482,0.100809517420278,0.215304798962387,3.85491163173037,2259.959444794701,163.03538161095048,96.056652928644,1314.506360454912,243.30063995458113,119.71196747290993
WK178304,Westland,'s-Gravenzande,2019,40.5395573873189,39275.8240076737,0.0972651080723423,0.217159241288046,3.82922368242786,2169.4610550333005,160.01223085248355,91.88197339435519,1215.8869222345327,256.92611644382265,121.89522700781468
WK178304,Westland,'s-Gravenzande,2020,40.7167503117678,37843.8850255399,0.100597132022839,0.218018567754871,3.75244910720489,2125.6796863226,156.23334837466,88.1765530535407,1175.52984272322,265.48817839306,130.986277490581
WK178304,Westland,'s-Gravenzande,2021,40.5976263977145,39291.2562944118,0.103898312290099,0.220422565149003,3.7833311090351,,,,,,
WK178304,Westland,'s-Gravenzande,2022,40.6590831782085,40605.5658880948,0.0794721285541818,0.179759377211607,3.8365378390626,,,,,,
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2009,42.7446628018845,,0.0876310272536688,0.121313766596785,4.06375331063186,2200.832986893716,125.64496062561555,70.7365734028623,1266.2024629513164,336.1996026427523,254.42270564741858
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2010,43.0433447743993,,0.102707228579403,0.158526374546469,4.13244159758855,2165.1925125078137,120.26033286517713,56.870398651444724,1279.3836798899797,313.853254625063,206.12602879214418
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2011,43.4197585389131,32485.756540386,0.0858663678386329,0.160526684409581,4.21523369878823,2257.1660775789037,132.763171512944,64.44345728368187,1242.7103383360586,316.74421665950723,320.0999288665846
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2012,43.9563692381914,35034.8358833718,0.075258169472344,0.162682133257887,4.1748046875,2144.5620317946086,127.36819809295163,64.28239800178984,1303.2146526417346,278.3755770150822,205.8150115210449
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2013,44.2209119950098,32527.8164383562,0.093410469874418,0.177084803160717,4.13065823285234,2419.492705973549,131.74239251102998,68.23611271926204,1372.1186529243228,251.52539607133352,329.83878963016696
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2014,44.6199626780775,35384.5653117315,0.0787535410764873,0.1671388101983,4.1683855612852,2501.612191388358,142.95293694840137,77.115428897177,1497.244352318932,260.8214984669703,290.62817017684955
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2015,44.9392476937977,34038.4554859391,0.082131124125125,0.170689901442651,4.23440902791526,2553.754510112803,146.64503990226586,78.89647641606157,1457.5105049541119,270.9723290034859,240.1410524359757
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2016,45.4017026159886,34237.5602117336,0.0832854681217691,0.184520390580126,4.32446386020651,2668.2337309958434,162.88603983031933,93.63229225011769,1516.1395906013042,297.41671250998803,257.7343033709557
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2017,45.5912448261002,35544.5562104022,0.091458153580673,0.201322979580098,4.45741261550824,2822.25442927748,167.93401588104902,97.43616962670572,1550.4738851722564,313.05860094558403,242.1131562174084
WK191603,Leidschendam-Voorburg,'t Lien / De Rietvink,2018,45.7102592547513,35335.999113082,0.0817972350230415,0.1875,4.50712589073634,2866.34732217138,178.9837591363468,107.87769909057555,1568.1369855478579,314.4275113105479,273.95231661443
