%_ZVWKZIEKENHUIS_user,%_CHOL_Medication_user,%_Above80,%_Unemployment_benefit_user,%_DIAB_Medication_user,%_Moving_count_above_1,%_Debt_Mortgage,UniqueMed_Count_MEAN,%_WMO_user,%_WLZ_user,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC,Total_Population,YEAR,Total cost GP care
0.45186234666844627,0.06280746665260593,0.021331098346594655,0.002711712398746135,0.0178821053486099,-0.009147253588445953,0.38389441407121155,3.3467996599980308,0.062360311298629276,0.03805173555167335,154.5151484666888,190.75956258285788, Wijk 16 Kraayenstein en Vroondaal,WK051816,10187.575757575758,2027.0,1574134.780697458
0.4450570199938374,0.06003762066087927,0.020221513004709885,0.002693024859842224,0.016351176194923257,-0.011957285858611423,0.39441681749249424,3.2939686187033583,0.06841895885826067,0.042550301887294036,156.28045594209865,194.44900259198542, Wijk 16 Kraayenstein en Vroondaal,WK051816,10460.934343434345,2028.0,1634839.5887722778
0.43956826227430523,0.0576528399730592,0.019124318223822545,0.002808583601716378,0.014933082827138688,-0.014709868628595892,0.40833696844333894,3.2469841952163763,0.07552596159069835,0.048081000673924845,158.3444959076215,197.97656362214337, Wijk 16 Kraayenstein en Vroondaal,WK051816,10706.939393939394,2029.0,1695384.9210467879
0.43539607350984955,0.0556531245891457,0.018039514003932625,0.003058388624368599,0.013627825245256204,-0.01740500189839938,0.42565486692374555,3.2058463895370846,0.08368131949594232,0.05464383191156578,160.70726836325738,201.34224567333177, Wijk 16 Kraayenstein en Vroondaal,WK051816,10925.590909090908,2030.0,1755821.8702544377
0.5925535888644844,0.15576340033758956,0.06083791793932835,0.004874632722188061,0.05723908588758522,0.007854236493409779,0.4008603551553761,4.798319463729195,0.09811804084860168,0.03618272986126876,182.7234456465726,202.95730439440803, Wijk 17 Loosduinen,WK051817,18726.0,2021.0,3421679.2431777185
0.5820883819544161,0.15544883222771427,0.05975447676058517,0.003633076591251872,0.05698805328264035,0.004852430500370479,0.39257804367979793,4.782747060607731,0.10030292615981412,0.03729543970625727,184.46035822133,209.9993613242798, Wijk 17 Loosduinen,WK051817,18822.469696969696,2022.0,3471999.5029131593
0.5728590086585538,0.15536263090289937,0.05873646211279022,0.0025803865629634116,0.05672267089410061,0.0019051818116935203,0.3876187837749558,4.769700406414523,0.10408405089577569,0.03893619272206517,186.61741878674366,216.7185518429759, Wijk 17 Loosduinen,WK051817,18914.0,2023.0,3529681.8589324695
0.5648654689768974,0.15550479636314488,0.057783873995943494,0.0017165626373226786,0.05644293872196597,-0.0009875095726210904,0.3859825754408498,4.759179501149573,0.10946141505648638,0.04110498890869246,189.19462734281345,223.11487595049644, Wijk 17 Loosduinen,WK051817,19000.590909090908,2024.0,3594809.7163387034
0.5581077629094469,0.1558753286084508,0.056896712410045,0.0010416048143296773,0.05614885676623646,-0.00382564365257336,0.3876694186774799,4.751184344812881,0.11643501864194616,0.04380182826613913,192.19198388953947,229.18833364684133, Wijk 17 Loosduinen,WK051817,19082.242424242424,2025.0,3667454.0285762865
0.5525858904562024,0.1564742276388171,0.05607497735509473,0.0005555130939844041,0.05584042502691206,-0.0066092204281632885,0.39267931348484614,4.745714937404445,0.12500486165215507,0.04702671079440521,195.6094884269217,234.93892493201065, Wijk 17 Loosduinen,WK051817,19158.954545454544,2026.0,3747673.2974310094
0.5482998516171639,0.15730149345424382,0.05531866883109268,0.0002582874762868618,0.05551764350399277,-0.009338239899390859,0.40101225986294836,4.742771278924267,0.1351709440871131,0.05077963649349066,199.4471409549601,240.36664980600432, Wijk 17 Loosduinen,WK051817,19230.727272727272,2027.0,3835513.5730300318
0.5452496463923313,0.1583571260547309,0.054627786838038865,0.00014992796123704764,0.055180512197478604,-0.012012702066256105,0.4126682578117868,4.742353369372346,0.14693326594682024,0.055060605363395514,203.70494147365474,245.4715082688224, Wijk 17 Loosduinen,WK051817,19297.560606060604,2028.0,3931008.453841881
0.5434352747817048,0.15964112544027842,0.05400233137593328,0.0002304345488349617,0.05482903110736955,-0.014632606928758986,0.4276473073313613,4.744461208748683,0.1602918272312765,0.059869617404119765,208.38288998300555,250.25350032046484, Wijk 17 Loosduinen,WK051817,19359.454545454544,2029.0,4034179.086676451
0.5428567367852841,0.16115349161088635,0.053442302444775915,0.0004998072390806074,0.05446320023366561,-0.017197954486899536,0.44594940842167197,4.749094797053276,0.17524662794048187,0.0652066726156634,213.48098648301257,254.7126259609317, Wijk 17 Loosduinen,WK051817,19416.40909090909,2030.0,4145034.1666850056
0.614111094428432,0.17830603488302332,0.09469495984000814,0.004258139163652002,0.05977718747302255,0.006250196804226345,0.3973397962265744,5.087289552151745,0.11166450917713697,0.04007612089536892,190.47185708284837,203.9575159590689, Wijk 18 Waldeck,WK051818,18206.0,2021.0,3467730.6300503374
0.6032836832000317,0.1777491812695201,0.09426735666988453,0.003021828750343683,0.05876470319166502,0.0025512576398067296,0.38986295897871964,5.049410853528506,0.11308849135163276,0.040339933811825344,191.7583883724962,209.47462670713807, Wijk 18 Waldeck,WK051818,18312.30808080808,2022.0,3511538.6849563965
0.5936807823456545,0.17756263901607822,0.0937462570311857,0.0019564615429311294,0.05785945052908967,-0.001033125335303333,0.3856304698729263,5.016943534992996,0.1165402582970819,0.04138912015313279,193.61873975650727,214.76627668438698, Wijk 18 Waldeck,WK051818,18422.747474747473,2023.0,3566989.1489129825
0.5853023918653004,0.17774640812269762,0.0931316609239117,0.001062037541414337,0.05706142948529649,-0.00450295212110384,0.3846423289091944,4.989887596545217,0.12201981001348433,0.04322367991929126,196.05291123488152,219.83246589081557, Wijk 18 Waldeck,WK051818,18537.318181818184,2024.0,3634295.1960327555
0.5781485117589694,0.1783004885893783,0.09242356834806248,0.0003385567457933128,0.0563706400602855,-0.00785822271759478,0.38689853608752406,4.968243038185169,0.12952714650084007,0.04584361311030075,199.06090280761902,224.6731943264239, Wijk 18 Waldeck,WK051818,18656.0202020202,2025.0,3713684.2242113203
0.5722191420266616,0.1792248804161203,0.09162197930363805,-0.0002139808439319494,0.05578708225405669,-0.011098937124776172,0.3923990914079151,4.952009859912851,0.13906226775914918,0.04924891972616127,202.64271447471975,229.28846199121193, Wijk 18 Waldeck,WK051818,18778.853535353534,2026.0,3805397.8551272275
0.5675142826683769,0.1805195836029236,0.09072689379063842,-0.0005955752277614461,0.05531075606661005,-0.014225095342648007,0.40114399487036756,4.941188061728264,0.15062517378841156,0.053439599766872806,206.79834623618365,233.6782688851797, Wijk 18 Waldeck,WK051818,18905.818181818184,2027.0,3909691.934241973
0.5640339336841154,0.1821845981497882,0.08973831180906358,-0.000806226405695179,0.054941661497945604,-0.017236697371210294,0.4131332464748816,4.935777643631407,0.16421586458862725,0.05841565323243538,211.5277980920108,237.8426150083272, Wijk 18 Waldeck,WK051818,19036.91414141414,2028.0,4026836.5307999956
0.561778095073877,0.1842199240567141,0.08865623335891354,-0.0008459343777331447,0.05467979854806333,-0.02013374321046301,0.428366846221457,4.93577860562228,0.1798343401597963,0.06417708012284896,216.8310700422012,241.78150036065438, Wijk 18 Waldeck,WK051818,19172.141414141413,2029.0,4157115.937828683
0.5607467668376617,0.18662556132370134,0.08748065844018829,-0.0007146991438753501,0.054525167216963245,-0.02291623286040617,0.44684479411009387,4.941190947700885,0.19748060050191865,0.07072388043811359,222.70816208675478,245.49492494216128, Wijk 18 Waldeck,WK051818,19311.5,2030.0,4300828.672138365
0.5300554379099623,0.0900556536528485,0.0375159458938713,0.0057054860333135395,0.027032895236646877,0.003349966994297404,0.45290172105724213,3.68063098262231,0.040120819325319364,0.014999836199411688,150.4601262558004,166.9300625934549, Wijk 19 Vruchtenbuurt,WK051819,10130.0,2021.0,1524161.078971258
0.5203437118053051,0.08920742407406726,0.03738523661816438,0.004843771732013112,0.02626956716034133,0.0004739148197866888,0.4435624485747167,3.6487322547684773,0.040998773376756094,0.015252255269264003,151.26114991864597,171.32038026393843, Wijk 19 Vruchtenbuurt,WK051819,10152.949494949495,2022.0,1535746.8156719964
0.5115148794822864,0.08849748931394037,0.03713261186841833,0.004131743362880466,0.025549945708213038,-0.0023812444620176197,0.43799850050272876,3.62023974009369,0.042531911268513495,0.015765197869178512,152.29374583385834,175.60909958219466, Wijk 19 Vruchtenbuurt,WK051819,10178.282828282827,2023.0,1550088.8180756296
0.5035689409409062,0.08792584937246783,0.036758071644633156,0.0035694009259156006,0.02487403088026199,-0.005215510851115518,0.43620987684127827,3.5951534385979484,0.044720233000591574,0.01653866399915521,153.55791400143744,179.79622054822357, Wijk 19 Vruchtenbuurt,WK051819,10206.0,2024.0,1567212.0702986706
0.4965058961811645,0.08749250424964965,0.03626161594680883,0.0031567444211185163,0.0242418226764882,-0.008028884347507016,0.43819657759036523,3.5734733502812532,0.04756373857299033,0.017572653659194103,155.05365442138333,183.88174316202517, Wijk 19 Vruchtenbuurt,WK051819,10236.10101010101,2025.0,1587144.8686425749
0.4903257452030613,0.08719745394548581,0.035643244774945376,0.0028937738484892134,0.02365332109689166,-0.010821364951192104,0.4439586027499897,3.5551994751436036,0.05106242798570975,0.01886716684929518,156.78096709369595,187.86566742359943, Wijk 19 Vruchtenbuurt,WK051819,10268.585858585859,2026.0,1609918.8215937412
0.4850284880065967,0.08704069845997633,0.03490295812904279,0.0027804892080276903,0.023108526141472366,-0.013592952662170789,0.4534959523201516,3.540331813185,0.05521630123874985,0.020422203569458456,158.73985201837536,191.7479933329464, Wijk 19 Vruchtenbuurt,WK051819,10303.454545454544,2027.0,1635568.8498235112
0.4806141245917705,0.08702223779312121,0.03404075600910106,0.0028168904997339485,0.02260743781023032,-0.01634364748044307,0.466808626300851,3.528870364405442,0.06002535833211062,0.022237763819683922,160.93030919542153,195.52872089006604, Wijk 19 Vruchtenbuurt,WK051819,10340.70707070707,2028.0,1664133.1861881705
0.4770826549585829,0.08714207194492045,0.0330566384151202,0.003002977723607988,0.022150056103165533,-0.01907344940600894,0.4838966246920879,3.52081512880493,0.06548959926579206,0.024313847599971582,163.35233862483446,199.20785009495836, Wijk 19 Vruchtenbuurt,WK051819,10380.343434343435,2029.0,1695653.3757289457
0.4744340791070338,0.08740020091537404,0.0319506053471002,0.003338750879649811,0.021736381020277997,-0.0217823584388684,0.5047599474938622,3.516166106383464,0.07160902403979419,0.026650454910321433,166.00594030661415,202.78538094762334, Wijk 19 Vruchtenbuurt,WK051819,10422.363636363636,2030.0,1730174.2756720078
0.49617048395968527,0.08573592528258372,0.01956523416638115,0.00703576548499802,0.03935576408521323,0.00931950165069881,0.37445003778203095,3.987039989106167,0.05624838135713073,0.011096822028009672,159.74024515060233,168.37342822108116, Wijk 20 Valkenboskwartier,WK051820,19204.0,2021.0,3067651.667872167
0.48775367396617036,0.08572747570779017,0.020235444452413133,0.006156502623111042,0.038803033691615606,0.005861391690570983,0.35943627889389035,3.961771332839291,0.05838122672773875,0.01165245048234375,161.10013608345338,173.37354537705326, Wijk 20 Valkenboskwartier,WK051820,19250.040404040406,2022.0,3101184.1287028855
0.4801192431036767,0.08584523187024311,0.02085811307545147,0.005398294434979295,0.03830554133756048,0.0023850264316349727,0.348350890810061,3.9392779732572363,0.06124789337841143,0.012326158374888239,162.76438259166298,178.3172818133931, Wijk 20 Valkenboskwartier,WK051820,19294.50505050505,2023.0,3140458.2019571774
0.47326719137220435,0.08608919376994253,0.02143324003549617,0.004761140920602781,0.03786328702304783,-0.0011095941261092292,0.3411938735305429,3.919559910360004,0.06484838130914877,0.013117945705643135,164.73298467523114,183.20463753010065, Wijk 20 Valkenboskwartier,WK051820,19337.39393939394,2024.0,3185506.6194770895
0.46719751877175325,0.08645936140688845,0.021960825332547236,0.0042450420799815,0.03747627074807767,-0.004622469982661619,0.33796522705533616,3.9026171441475928,0.06918269051995077,0.01402781247460844,167.00594233415782,188.03561252717594, Wijk 20 Valkenboskwartier,WK051820,19378.70707070707,2025.0,3236359.2355610416
0.4619102253023235,0.08695573478108085,0.022440868966604664,0.0038499979131154495,0.03714449251265,-0.008153601138022201,0.33866495138444075,3.888449674620003,0.07425082101081742,0.015055758681784152,169.5832555684431,192.81020680461896, Wijk 20 Valkenboskwartier,WK051820,19418.444444444445,2026.0,3293043.0269638365
0.457405310963915,0.08757831389251973,0.02287337093766845,0.003576008420004631,0.03686795231676482,-0.011702987592190968,0.3432930465178565,3.877057501777235,0.08005277278174876,0.016201784327170274,172.46492437808692,197.5284203624297, Wijk 20 Valkenboskwartier,WK051820,19456.60606060606,2027.0,3355582.092896652
0.45368277575652777,0.0883270987412051,0.023258331245738596,0.0034230736006490457,0.03664665016042212,-0.015270629345167937,0.35184951245558366,3.868440625619289,0.08658854583274474,0.0174658894107668,175.65094876308927,202.19025320060817, Wijk 20 Valkenboskwartier,WK051820,19493.19191919192,2028.0,3423997.6550270454
0.4507426196801618,0.08920208932713695,0.02359574989081511,0.003391193455048693,0.036480586043621914,-0.018856526396953094,0.36433434919762214,3.862599046146164,0.09385814016380536,0.01884807393257374,179.14132872345021,206.79570531915437, Wijk 20 Valkenboskwartier,WK051820,19528.20202020202,2029.0,3498308.057478955
0.44858484273481725,0.09020328565031531,0.023885626872897976,0.003480367983203573,0.03636975996636419,-0.022460678747546432,0.38074755674397187,3.859532763357861,0.1018615557749307,0.02034833789259109,182.93606425916968,211.3447767180683, Wijk 20 Valkenboskwartier,WK051820,19561.636363636364,2030.0,3578528.766832692
0.5002215583374908,0.07937938858040788,0.017289160169623737,0.007407829760643681,0.04046311783997107,0.011659758043310608,0.32860263020561803,3.9185741513588592,0.06021723841481473,0.01094510026080768,159.46999158596975,165.39931022895587, Wijk 21 Regentessekwartier,WK051821,14748.0,2021.0,2351863.4359098817
0.49430711935119326,0.07912872396997958,0.01746877826330518,0.006808676308393038,0.04019736053622947,0.00830537924299516,0.308154954322149,3.888799630405636,0.0616648951206262,0.011229007537677454,160.42992999291863,169.73648772462298, Wijk 21 Regentessekwartier,WK051821,14893.358585858587,2022.0,2389340.475288727
0.48911593092761,0.07914219126216829,0.017736279686385775,0.006297626060986277,0.040030142363398115,0.004854315238495721,0.2919185652230954,3.864316013531728,0.06406592034886296,0.011683434691179427,161.84941557427916,174.18335890768824, Wijk 21 Regentessekwartier,WK051821,15023.81818181818,2023.0,2431596.192421502
0.4846479930667411,0.079419790456974,0.018091664438865507,0.005874679018423399,0.039961463321476993,0.0013065660298122901,0.2798934629084572,3.845123300737135,0.067420314099525,0.012308381721313601,163.7284483300514,178.7399237781517, Wijk 21 Regentessekwartier,WK051821,15139.378787878788,2024.0,2478746.9976202883
0.48090330576858653,0.07996152155439673,0.018534932520744375,0.005539835180704404,0.039991323410466115,-0.0023378683830551326,0.27207964737823437,3.8312214920218564,0.0717280763726123,0.013103848628079978,166.0670282602353,183.40618233601333, Wijk 21 Regentessekwartier,WK051821,15240.040404040405,2025.0,2530868.2204649057
0.47788186903314633,0.08076738455443647,0.0190660839320224,0.0052930945478292905,0.04011972263036547,-0.006078988000106544,0.26847711863242696,3.8226105873858933,0.0769892071681249,0.014069835411478554,168.86515536483088,188.18213458127315, Wijk 21 Regentessekwartier,WK051821,15325.80303030303,2026.0,2587994.109802917
